applicant_id,PD,risk_grade,decision,recommended_credit_limit,LGD,EAD,expected_loss,top_reason_1,top_reason_2,top_reason_3,model_used,loan_amount,annual_income,debt_to_income,credit_grade,loan_purpose,application_vintage,default_flag,interest_rate,expected_loss_rate,challenger_PD
APP-00040,0.01411059176294206,A,Approve,2000.0,0.35,17171.95,84.81,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,17171.95,24217.62,0.0989,B,medical,2022Q1,0,0.1152,0.004938868328873541,0.014871649142748886
APP-00041,0.06364023870417732,C,Review,2600.0,0.55,28699.53,1004.54,large loan amount,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,28699.53,62416.89,0.2426,A,debt_consolidation,2022Q1,0,0.0474,0.03500196693116577,0.014871649142748886
APP-00042,0.06364023870417732,C,Review,5300.0,0.55,10640.25,372.43,prior delinquency,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,10640.25,60510.49,0.3965,D,debt_consolidation,2022Q1,0,0.1864,0.035001997133525996,0.07636828644501278
APP-00043,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,29820.41,51903.96,0.3159,D,other,2022Q1,1,0.187,0.0,0.07636828644501278
APP-00044,0.06364023870417732,C,Review,3100.0,0.55,15158.54,530.58,weak credit grade,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,15158.54,49434.78,0.2547,B,medical,2022Q1,0,0.0875,0.03500205164877356,0.014871649142748886
APP-00045,0.06364023870417732,C,Review,3200.0,0.55,26456.31,926.03,prior delinquency,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,26456.31,72569.49,0.3818,C,debt_consolidation,2022Q1,0,0.148,0.03500223576152532,0.014871649142748886
APP-00046,0.06364023870417732,C,Review,4300.0,0.55,20440.31,715.45,prior delinquency,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,20440.31,67876.25,0.2551,D,debt_consolidation,2022Q1,1,0.2091,0.03500191533298663,0.12751187431494337
APP-00047,0.06364023870417732,C,Review,2900.0,0.55,14897.21,521.43,weak credit grade,high debt-to-income,high revolving utilization,champion_logistic_scorecard_calibrated,14897.21,60975.31,0.5518,D,medical,2022Q1,0,0.2042,0.035001856052240654,0.07636828644501278
APP-00048,0.01411059176294206,A,Approve,6600.0,0.35,10356.21,51.15,modeled PD below approve cutoff,high debt-to-income,weak credit grade,champion_logistic_scorecard_calibrated,10356.21,55098.09,0.58,B,other,2022Q1,0,0.092,0.0049390655461795385,0.014871649142748886
APP-00049,0.013871429190688804,A,Approve,8400.0,0.35,7261.06,35.25,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,7261.06,65759.18,0.4346,B,home_improvement,2022Q1,0,0.1323,0.004854663093267374,0.014871649142748886
APP-00050,0.06364023870417732,C,Review,1300.0,0.55,33509.67,1172.91,prior delinquency,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,33509.67,32931.6,0.58,C,debt_consolidation,2022Q1,0,0.1663,0.03500213520455439,0.014871649142748886
APP-00051,0.013871429190688804,A,Approve,17600.0,0.35,17204.78,83.53,modeled PD below approve cutoff,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,17204.78,78291.91,0.0739,C,debt_consolidation,2022Q1,0,0.1448,0.004855046097654257,0.014871649142748886
APP-00052,0.06364023870417732,C,Review,5800.0,0.55,5030.04,176.06,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,5030.04,109718.93,0.2396,C,debt_consolidation,2022Q1,0,0.1335,0.03500170972795445,0.014871649142748886
APP-00053,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,weak credit grade,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,18814.51,40939.8,0.1641,E,medical,2022Q1,0,0.2544,0.0,0.12751187431494337
APP-00054,0.013871429190688804,A,Approve,3500.0,0.35,16941.72,82.25,modeled PD below approve cutoff,large loan amount,high debt-to-income,champion_logistic_scorecard_calibrated,16941.72,41690.08,0.3655,A,other,2022Q1,0,0.0636,0.0048548789615222064,0.014871649142748886
APP-00055,0.06364023870417732,C,Review,1700.0,0.55,18843.03,659.55,prior delinquency,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,18843.03,41377.91,0.476,C,medical,2022Q1,0,0.1398,0.03500233242742807,0.014871649142748886
APP-00056,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,31704.75,31435.7,0.4354,D,other,2022Q1,1,0.2056,0.0,0.12751187431494337
APP-00057,0.06364023870417732,C,Review,3000.0,0.55,11362.54,397.71,weak credit grade,large loan amount,high debt-to-income,champion_logistic_scorecard_calibrated,11362.54,41873.76,0.247,D,debt_consolidation,2022Q1,0,0.2077,0.03500185697916135,0.12751187431494337
APP-00058,0.013871429190688804,A,Approve,2600.0,0.35,20088.07,97.53,modeled PD below approve cutoff,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,20088.07,30616.9,0.2359,B,medical,2022Q1,0,0.1005,0.00485512047697962,0.014871649142748886
APP-00059,0.01411059176294206,A,Approve,12000.0,0.35,10431.41,51.52,modeled PD below approve cutoff,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,10431.41,87684.4,0.2247,C,major_purchase,2022Q1,0,0.1427,0.004938929636549613,0.014871649142748886
APP-00060,0.06364023870417732,C,Review,8700.0,0.55,42000.0,1470.09,large loan amount,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,42000.0,152250.4,0.3844,C,debt_consolidation,2022Q1,0,0.1353,0.03500214285714286,0.014871649142748886
APP-00061,0.013871429190688804,A,Approve,5300.0,0.35,15088.45,73.25,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,15088.45,43890.96,0.2207,B,other,2022Q1,0,0.1196,0.004854706745888411,0.014871649142748886
APP-00062,0.06364023870417732,C,Review,1100.0,0.55,42000.0,1470.09,prior delinquency,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,42000.0,26168.66,0.3612,B,debt_consolidation,2022Q1,0,0.0979,0.03500214285714286,0.014871649142748886
APP-00063,0.01411059176294206,A,Approve,6900.0,0.35,9303.11,45.95,modeled PD below approve cutoff,high debt-to-income,large loan amount,champion_logistic_scorecard_calibrated,9303.11,42885.52,0.3489,A,medical,2022Q1,0,0.0629,0.0049392085012431326,0.014871649142748886
APP-00064,0.013871429190688804,A,Approve,12200.0,0.35,31915.16,154.95,modeled PD below approve cutoff,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,31915.16,92960.59,0.1531,A,home_improvement,2022Q1,0,0.0702,0.004855059476436903,0.014871649142748886
APP-00065,0.01411059176294206,A,Approve,15300.0,0.35,13282.7,65.6,modeled PD below approve cutoff,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,13282.7,85470.8,0.3498,B,debt_consolidation,2022Q1,0,0.1008,0.004938754921815594,0.014871649142748886
APP-00066,0.013871429190688804,A,Approve,3000.0,0.35,29651.35,143.96,modeled PD below approve cutoff,large loan amount,high debt-to-income,champion_logistic_scorecard_calibrated,29651.35,35264.33,0.4077,B,major_purchase,2022Q1,0,0.1059,0.004855090914916185,0.014871649142748886
APP-00067,0.01411059176294206,A,Approve,14000.0,0.35,12211.91,60.31,modeled PD below approve cutoff,high debt-to-income,high revolving utilization,champion_logistic_scorecard_calibrated,12211.91,87002.81,0.3145,B,debt_consolidation,2022Q1,0,0.1045,0.004938621395015195,0.014871649142748886
APP-00068,0.01411059176294206,A,Approve,5000.0,0.35,24237.29,119.7,modeled PD below approve cutoff,high debt-to-income,weak credit grade,champion_logistic_scorecard_calibrated,24237.29,59161.16,0.4848,B,home_improvement,2022Q1,0,0.1132,0.004938670948773563,0.014871649142748886
APP-00069,0.013871429190688804,A,Approve,15200.0,0.35,18177.16,88.25,modeled PD below approve cutoff,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,18177.16,73254.18,0.0364,A,home_improvement,2022Q1,0,0.0852,0.004854993849424223,0.014871649142748886
APP-00070,0.013871429190688804,A,Approve,12400.0,0.35,10817.07,52.52,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,10817.07,64453.16,0.0789,A,small_business,2022Q1,0,0.0866,0.004855288909103852,0.014871649142748886
APP-00071,0.06364023870417732,C,Review,9900.0,0.55,17308.63,605.84,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,17308.63,109918.21,0.4456,C,medical,2022Q1,0,0.1541,0.03500219254787929,0.014871649142748886
APP-00072,0.013871429190688804,A,Approve,8000.0,0.35,6942.15,33.7,modeled PD below approve cutoff,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,6942.15,39717.84,0.196,B,debt_consolidation,2022Q1,0,0.0977,0.004854403895046924,0.014871649142748886
APP-00073,0.06364023870417732,C,Review,2200.0,0.55,38695.63,1354.43,large loan amount,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,38695.63,55367.46,0.2165,A,debt_consolidation,2022Q1,0,0.0737,0.035002143652913785,0.014871649142748886
APP-00074,0.013871429190688804,A,Approve,2200.0,0.35,21511.56,104.44,modeled PD below approve cutoff,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,21511.56,26092.28,0.1819,B,debt_consolidation,2022Q1,0,0.1076,0.004855063974904656,0.014871649142748886
APP-00075,0.013871429190688804,A,Approve,12900.0,0.35,24651.37,119.68,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,24651.37,82211.31,0.1205,A,major_purchase,2022Q1,0,0.0879,0.004854902587564099,0.014871649142748886
APP-00076,0.06364023870417732,C,Review,4500.0,0.55,35979.98,1259.38,large loan amount,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,35979.98,86270.94,0.1409,C,debt_consolidation,2022Q1,0,0.1621,0.03500224291397605,0.014871649142748886
APP-00077,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,weak credit grade,high debt-to-income,large loan amount,champion_logistic_scorecard_calibrated,22175.51,61841.58,0.58,D,debt_consolidation,2022Q1,0,0.1989,0.0,0.07636828644501278
APP-00078,0.06364023870417732,C,Review,7800.0,0.55,7425.18,259.9,weak credit grade,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,7425.18,57484.38,0.3112,D,major_purchase,2022Q1,0,0.2036,0.035002518457465,0.07636828644501278
APP-00079,0.01411059176294206,A,Approve,4100.0,0.35,32736.78,161.68,modeled PD below approve cutoff,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,32736.78,48831.25,0.143,D,debt_consolidation,2022Q1,0,0.1987,0.004938787504452179,0.07636828644501278
APP-00080,0.06364023870417732,C,Review,5000.0,0.55,11080.77,387.85,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,11080.77,56267.85,0.3184,C,debt_consolidation,2022Q1,1,0.1508,0.03500208018034848,0.014871649142748886
APP-00081,0.06364023870417732,C,Review,3000.0,0.55,42000.0,1470.09,large loan amount,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,42000.0,74409.64,0.246,C,small_business,2022Q1,0,0.1332,0.03500214285714286,0.014871649142748886
APP-00082,0.01411059176294206,A,Approve,5800.0,0.35,5025.98,24.82,modeled PD below approve cutoff,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,5025.98,119789.38,0.2285,C,debt_consolidation,2022Q1,0,0.1546,0.00493834038336802,0.014871649142748886
APP-00083,0.01411059176294206,A,Approve,5500.0,0.35,39382.18,194.5,modeled PD below approve cutoff,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,39382.18,65630.92,0.5183,C,debt_consolidation,2022Q1,0,0.1334,0.004938781956712402,0.014871649142748886
APP-00084,0.01411059176294206,A,Approve,3000.0,0.35,20567.25,101.58,modeled PD below approve cutoff,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,20567.25,35243.98,0.2687,B,small_business,2022Q1,0,0.1055,0.00493891988476826,0.014871649142748886
APP-00085,0.06364023870417732,C,Review,1400.0,0.55,10170.75,356.0,high revolving utilization,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,10170.75,32159.03,0.4758,C,major_purchase,2022Q1,1,0.1608,0.035002335127694614,0.014871649142748886
APP-00086,0.06364023870417732,C,Review,3500.0,0.55,19079.67,667.83,weak credit grade,large loan amount,high debt-to-income,champion_logistic_scorecard_calibrated,19079.67,67925.89,0.4277,D,other,2022Q1,0,0.1959,0.03500217771062079,0.07636828644501278
APP-00087,0.01411059176294206,A,Approve,16500.0,0.35,14313.3,70.69,modeled PD below approve cutoff,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,14313.3,88145.63,0.0847,A,home_improvement,2022Q1,0,0.0536,0.004938763248167788,0.014871649142748886
APP-00088,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,9763.01,33546.01,0.3263,D,medical,2022Q1,0,0.2101,0.0,0.12751187431494337
APP-00089,0.06364023870417732,C,Review,5800.0,0.55,13099.87,458.52,weak credit grade,large loan amount,high revolving utilization,champion_logistic_scorecard_calibrated,13099.87,57182.52,0.0948,D,debt_consolidation,2022Q1,0,0.2022,0.035001874064399106,0.07636828644501278
APP-00090,0.14697357203751066,D,Decline,0.0,0.55,0.0,0.0,prior delinquency,weak credit grade,high debt-to-income,champion_logistic_scorecard_calibrated,15549.64,31691.17,0.58,C,debt_consolidation,2022Q1,0,0.1362,0.0,0.014871649142748886
APP-00091,0.013871429190688804,A,Approve,10700.0,0.35,9345.9,45.37,modeled PD below approve cutoff,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,9345.9,66647.61,0.03,A,major_purchase,2022Q1,0,0.0618,0.004854535143752875,0.014871649142748886
APP-00092,0.06364023870417732,C,Review,5800.0,0.55,16775.2,587.17,high debt-to-income,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,16775.2,90392.92,0.5351,B,debt_consolidation,2022Q1,0,0.0785,0.03500226524870046,0.014871649142748886
APP-00093,0.013871429190688804,A,Approve,17600.0,0.35,16643.44,80.8,modeled PD below approve cutoff,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,16643.44,83184.11,0.2058,C,major_purchase,2022Q1,0,0.1231,0.0048547656013420305,0.014871649142748886
APP-00094,0.06364023870417732,C,Review,4200.0,0.55,42000.0,1470.09,large loan amount,high revolving utilization,weak credit grade,champion_logistic_scorecard_calibrated,42000.0,84904.21,0.0526,A,other,2022Q1,0,0.068,0.03500214285714286,0.014871649142748886
APP-00095,0.01411059176294206,A,Approve,13300.0,0.35,11568.36,57.13,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,11568.36,61439.21,0.1964,B,debt_consolidation,2022Q1,0,0.1103,0.004938470102935939,0.014871649142748886
APP-00096,0.06364023870417732,C,Review,2200.0,0.55,42000.0,1470.09,large loan amount,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,42000.0,55031.09,0.2711,C,debt_consolidation,2022Q1,0,0.1423,0.03500214285714286,0.014871649142748886
APP-00097,0.013871429190688804,A,Approve,3600.0,0.35,25693.1,124.74,modeled PD below approve cutoff,weak credit grade,high revolving utilization,champion_logistic_scorecard_calibrated,25693.1,43203.74,0.2736,B,home_improvement,2022Q1,0,0.1034,0.0048549999805395224,0.014871649142748886
APP-00098,0.06364023870417732,C,Review,2700.0,0.55,12427.35,434.98,weak credit grade,high debt-to-income,large loan amount,champion_logistic_scorecard_calibrated,12427.35,55905.28,0.58,D,home_improvement,2022Q1,0,0.2092,0.03500183063967781,0.12751187431494337
APP-00099,0.013871429190688804,A,Approve,8600.0,0.35,14635.39,71.05,modeled PD below approve cutoff,high debt-to-income,weak credit grade,champion_logistic_scorecard_calibrated,14635.39,58562.56,0.3081,A,home_improvement,2022Q1,0,0.0771,0.0048546707672292985,0.014871649142748886
APP-00100,0.013871429190688804,A,Approve,7400.0,0.35,6412.87,31.13,modeled PD below approve cutoff,high revolving utilization,high debt-to-income,champion_logistic_scorecard_calibrated,6412.87,49447.97,0.2596,B,debt_consolidation,2022Q1,0,0.1034,0.004854300804475999,0.014871649142748886
APP-00101,0.06364023870417732,C,Review,4300.0,0.55,21094.59,738.36,prior delinquency,high revolving utilization,large loan amount,champion_logistic_scorecard_calibrated,21094.59,68116.24,0.2452,B,small_business,2022Q1,0,0.1117,0.035002339462392965,0.014871649142748886
APP-00102,0.01411059176294206,A,Approve,17300.0,0.35,15008.1,74.12,modeled PD below approve cutoff,weak credit grade,large loan amount,champion_logistic_scorecard_calibrated,15008.1,197958.15,0.2082,B,debt_consolidation,2022Q1,0,0.0891,0.004938666453448471,0.014871649142748886
APP-00103,0.06364023870417732,C,Review,1500.0,0.55,25341.08,886.99,prior delinquency,large loan amount,weak credit grade,champion_logistic_scorecard_calibrated,25341.08,36374.05,0.3151,C,medical,2022Q1,0,0.1498,0.03500205989642115,0.014871649142748886
