wallet_id,counterparty_wallet_id,transaction_time,amount_usd,stablecoin_risk_score,stablecoin_risk_action,risk_exposure_score,top_reason_1,top_reason_2,top_reason_3
W0017,W0570,2026-01-04 11:19:59,13.972949,0.18227,normal,2.546845,high_wallet_velocity,new_counterparty,
W0017,W0421,2026-02-04 03:55:32,1012.737355,0.792735,review,802.832784,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0018,W0383,2025-12-25 06:07:41,3603.775708,0.32455,normal,1169.604276,high_wallet_velocity,new_counterparty,imbalanced_flow
W0018,W0273,2026-01-19 19:19:34,5.710712,0.594024,monitor,3.392302,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0019,W0544,2026-01-11 18:40:25,4603.726098,0.286377,normal,1318.40061,high_wallet_velocity,new_counterparty,
W0019,W0264,2026-01-15 14:32:06,1118.189647,0.14619,normal,163.468341,new_counterparty,imbalanced_flow,
W0019,W0505,2026-01-17 22:54:04,743.842406,0.295262,normal,219.628563,high_wallet_velocity,new_counterparty,
W0019,W0391,2026-01-27 06:59:59,235.837696,0.220115,normal,51.911374,high_wallet_velocity,new_counterparty,imbalanced_flow
W0020,W0391,2026-03-09 13:50:13,4800.792222,0.493405,monitor,2368.735382,high_wallet_velocity,new_counterparty,imbalanced_flow
W0021,W0642,2026-01-03 08:27:59,1163.974209,0.321677,normal,374.4232,high_wallet_velocity,new_counterparty,
W0021,W0787,2026-01-08 22:33:20,754.944191,0.159795,normal,120.636062,new_counterparty,imbalanced_flow,
W0021,W0356,2026-01-27 18:21:25,7133.488422,0.544883,monitor,3886.913522,risky_address_exposure,new_counterparty,imbalanced_flow
W0021,W0048,2026-01-31 03:31:13,868.554601,0.301063,normal,261.489604,new_counterparty,imbalanced_flow,
W0021,W0304,2026-02-03 01:08:53,5087.891798,0.45047,monitor,2291.941112,risky_address_exposure,new_counterparty,imbalanced_flow
W0021,W0549,2026-02-14 06:47:01,60.771634,0.255587,normal,15.532439,new_counterparty,imbalanced_flow,
W0021,W0023,2026-03-05 06:04:20,11.340863,0.445577,monitor,5.053224,risky_address_exposure,new_counterparty,imbalanced_flow
W0022,W0607,2026-02-13 00:03:23,12886.113632,0.747389,review,9630.937796,high_counterparty_risk,risky_address_exposure,large_transfer
W0023,W0604,2026-02-01 03:42:25,1511.389802,0.204047,normal,308.394927,new_counterparty,imbalanced_flow,
W0023,W0120,2026-02-05 08:18:04,3826.168477,0.18763,normal,717.905537,new_counterparty,imbalanced_flow,
W0023,W0015,2026-02-22 15:34:11,5.608614,0.425129,monitor,2.384384,high_wallet_velocity,new_counterparty,
W0024,W0786,2026-01-28 10:46:03,211.225183,0.323917,normal,68.419424,high_wallet_velocity,new_counterparty,imbalanced_flow
W0024,W0505,2026-02-12 10:06:58,2716.322091,0.302144,normal,820.720006,high_wallet_velocity,new_counterparty,
W0025,W0627,2025-12-24 19:06:10,7.861037,0.689875,review,5.423129,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0025,W0319,2026-02-16 03:43:53,43.224626,0.761699,review,32.924135,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0025,W0718,2026-03-02 20:57:14,102.876616,0.556437,monitor,57.244313,risky_address_exposure,high_wallet_velocity,new_counterparty
W0026,W0176,2026-02-18 21:16:55,90.079882,0.293578,normal,26.445461,new_counterparty,,
W0026,W0482,2026-02-28 17:41:19,1012.994338,0.260595,normal,263.981331,high_wallet_velocity,new_counterparty,
W0027,W0195,2025-12-30 08:46:13,1552.826032,0.775525,review,1204.255109,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0027,W0045,2026-02-03 19:25:46,618.146303,0.617615,monitor,381.77616,high_counterparty_risk,risky_address_exposure,new_counterparty
W0027,W0559,2026-02-15 16:02:56,655.669915,0.270319,normal,177.240315,high_wallet_velocity,new_counterparty,
W0027,W0081,2026-02-21 02:33:48,1217.051349,0.251166,normal,305.682403,high_wallet_velocity,new_counterparty,
W0027,W0516,2026-02-21 15:02:20,2888.652548,0.551425,monitor,1592.875941,risky_address_exposure,high_wallet_velocity,new_counterparty
W0027,W0603,2026-02-23 20:59:21,3113.358553,0.284415,normal,885.48624,high_wallet_velocity,new_counterparty,
W0028,W0311,2026-01-01 12:10:38,4539.311833,0.536617,monitor,2435.873684,risky_address_exposure,high_wallet_velocity,new_counterparty
W0028,W0290,2026-01-09 18:32:54,53.003874,0.443382,monitor,23.500942,risky_address_exposure,new_counterparty,imbalanced_flow
W0028,W0511,2026-01-25 00:23:37,72.967826,0.213849,normal,15.604087,new_counterparty,,
W0028,W0628,2026-01-25 12:07:41,1328.32017,0.587291,monitor,780.110359,risky_address_exposure,high_wallet_velocity,new_counterparty
W0028,W0775,2026-02-03 06:18:53,283891.043453,0.397097,normal,112732.363728,high_wallet_velocity,large_transfer,new_counterparty
W0028,W0737,2026-02-03 17:15:18,11.423704,0.344595,normal,3.936555,high_wallet_velocity,new_counterparty,imbalanced_flow
W0029,W0681,2026-02-11 10:56:24,1374.029968,0.344583,normal,473.467783,high_wallet_velocity,new_counterparty,imbalanced_flow
W0029,W0461,2026-02-13 00:25:45,120.478579,0.351826,normal,42.387519,high_wallet_velocity,new_counterparty,
W0029,W0566,2026-03-15 07:45:05,5694.166863,0.356995,normal,2032.790644,high_wallet_velocity,new_counterparty,
W0029,W0438,2026-03-19 17:56:08,5624.03889,0.210074,normal,1181.465587,new_counterparty,,
W0030,W0230,2026-01-21 03:07:16,1052.964809,0.275087,normal,289.657187,high_wallet_velocity,new_counterparty,imbalanced_flow
W0031,W0340,2025-12-26 19:46:42,49.18792,0.22095,normal,10.868061,high_wallet_velocity,new_counterparty,
W0031,W0138,2026-01-20 16:56:01,40.316593,0.290873,normal,11.727007,high_wallet_velocity,new_counterparty,imbalanced_flow
W0032,W0193,2025-12-29 22:29:24,8162.73278,0.301955,normal,2464.775808,high_wallet_velocity,new_counterparty,imbalanced_flow
W0032,W0535,2026-03-12 19:17:43,9.37045,0.544386,monitor,5.101139,risky_address_exposure,new_counterparty,imbalanced_flow
W0032,W0665,2026-03-16 20:43:30,703.847444,0.28251,normal,198.8437,high_wallet_velocity,new_counterparty,imbalanced_flow
W0033,W0649,2026-01-14 00:54:39,94.413867,0.177925,normal,16.798561,new_counterparty,,
W0033,W0555,2026-01-19 21:39:36,444.972732,0.315444,normal,140.364193,high_wallet_velocity,new_counterparty,
W0033,W0341,2026-03-04 07:34:36,79.063073,0.507133,monitor,40.095504,high_wallet_velocity,new_counterparty,
W0033,W0349,2026-03-18 15:46:02,935.000307,0.324962,normal,303.839496,high_wallet_velocity,new_counterparty,
W0034,W0031,2026-02-23 19:13:43,4667.364162,0.362345,normal,1691.195727,new_counterparty,,
W0035,W0306,2026-01-11 23:55:16,4167.724166,0.328041,normal,1367.182876,high_wallet_velocity,new_counterparty,imbalanced_flow
W0035,W0370,2026-01-18 15:30:21,34.595235,0.190682,normal,6.59669,high_wallet_velocity,new_counterparty,
W0035,W0759,2026-01-24 22:51:25,556.221613,0.316217,normal,175.886977,high_wallet_velocity,new_counterparty,
W0035,W0727,2026-02-18 08:06:22,472.959869,0.316832,normal,149.84886,high_wallet_velocity,new_counterparty,imbalanced_flow
W0035,W0128,2026-02-26 17:44:06,74.583479,0.437579,monitor,32.636132,high_wallet_velocity,new_counterparty,
W0036,W0658,2025-12-24 23:33:20,38.020898,0.284071,normal,10.800635,high_wallet_velocity,new_counterparty,imbalanced_flow
W0036,W0585,2026-01-09 08:08:21,192.48244,0.512329,monitor,98.614392,risky_address_exposure,high_wallet_velocity,new_counterparty
W0036,W0101,2026-01-13 08:38:08,7.734529,0.288385,normal,2.230518,high_wallet_velocity,new_counterparty,imbalanced_flow
W0036,W0453,2026-02-02 20:11:49,24.041986,0.281173,normal,6.759967,high_wallet_velocity,new_counterparty,imbalanced_flow
W0038,W0467,2026-01-18 18:31:45,717.880277,0.492555,monitor,353.595371,risky_address_exposure,high_wallet_velocity,new_counterparty
W0039,W0332,2026-01-22 07:33:11,5895.899212,0.75652,review,4460.364137,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0039,W0752,2026-02-13 19:04:22,129.522445,0.561783,monitor,72.763474,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0039,W0420,2026-02-17 00:52:41,15937.891735,0.631667,monitor,10067.434849,risky_address_exposure,high_wallet_velocity,large_transfer
W0040,W0056,2026-03-03 01:52:26,294.903421,0.609164,monitor,179.644568,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0041,W0410,2026-01-12 12:48:15,494.32055,0.600897,monitor,297.035974,risky_address_exposure,high_wallet_velocity,new_counterparty
W0041,W0621,2026-01-24 04:07:43,710.764713,0.553665,monitor,393.525666,risky_address_exposure,new_counterparty,
W0041,W0560,2026-02-15 03:04:21,12397.909301,0.564577,monitor,6999.571519,risky_address_exposure,high_wallet_velocity,new_counterparty
W0041,W0192,2026-02-21 08:05:00,29.324886,0.725039,review,21.26168,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0043,W0178,2026-01-28 14:23:25,1883.678422,0.651685,review,1227.564652,risky_address_exposure,high_wallet_velocity,new_counterparty
W0043,W0233,2026-01-29 07:06:22,54.925241,0.545055,monitor,29.937261,risky_address_exposure,new_counterparty,
W0043,W0567,2026-02-03 10:16:38,4476.97827,0.289989,normal,1298.273993,high_wallet_velocity,new_counterparty,imbalanced_flow
W0043,W0397,2026-02-23 21:37:36,8.759712,0.397787,normal,3.484504,high_wallet_velocity,new_counterparty,
W0044,W0583,2026-01-22 16:49:01,120.621193,0.13652,normal,16.467191,new_counterparty,,
W0044,W0706,2026-02-09 12:55:15,784.884628,0.43369,monitor,340.396942,high_wallet_velocity,new_counterparty,imbalanced_flow
W0045,W0524,2026-02-24 22:09:47,7.135653,0.277195,normal,1.977969,high_wallet_velocity,new_counterparty,imbalanced_flow
W0045,W0281,2026-03-12 00:47:03,1824.838176,0.706658,review,1289.536371,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0045,W0762,2026-03-14 12:55:25,503.146954,0.286933,normal,144.369378,high_wallet_velocity,new_counterparty,imbalanced_flow
W0046,W0680,2026-01-16 04:36:10,184.477373,0.329987,normal,60.875047,high_wallet_velocity,new_counterparty,imbalanced_flow
W0046,W0168,2026-02-09 08:26:00,43.558954,0.259884,normal,11.320285,new_counterparty,imbalanced_flow,
W0046,W0587,2026-03-20 07:56:46,34984.379192,0.571722,monitor,20001.341377,risky_address_exposure,high_wallet_velocity,large_transfer
W0047,W0395,2026-01-12 10:26:25,1312.615691,0.560809,monitor,736.126901,risky_address_exposure,high_wallet_velocity,new_counterparty
W0047,W0018,2026-02-25 07:58:47,153.856883,0.270111,normal,41.558363,high_wallet_velocity,new_counterparty,imbalanced_flow
W0047,W0576,2026-03-14 05:42:43,13.676744,0.725369,review,9.920689,high_counterparty_risk,risky_address_exposure,new_counterparty
W0048,W0271,2026-01-03 22:01:33,38.295451,0.313085,normal,11.989716,high_wallet_velocity,new_counterparty,imbalanced_flow
W0048,W0086,2026-03-09 04:02:39,36.020849,0.338901,normal,12.207515,high_wallet_velocity,new_counterparty,imbalanced_flow
W0049,W0524,2025-12-27 17:55:26,10125.088512,0.254179,normal,2573.584622,high_wallet_velocity,new_counterparty,imbalanced_flow
W0049,W0747,2026-02-08 14:11:37,2274.396494,0.344755,normal,784.110009,high_wallet_velocity,new_counterparty,imbalanced_flow
W0050,W0404,2025-12-21 11:48:35,7239.107181,0.488962,monitor,3539.649216,risky_address_exposure,high_wallet_velocity,new_counterparty
W0050,W0403,2026-01-06 00:16:40,3180.181999,0.319022,normal,1014.549255,new_counterparty,,
W0050,W0590,2026-01-06 13:32:02,1102.366619,0.358698,normal,395.416693,high_wallet_velocity,new_counterparty,imbalanced_flow
W0050,W0427,2026-03-20 11:37:32,6.275195,0.459718,monitor,2.884819,risky_address_exposure,new_counterparty,imbalanced_flow
W0051,W0094,2026-01-14 08:25:41,9875.389009,0.275659,normal,2722.238575,new_counterparty,,
W0051,W0668,2026-01-30 11:40:26,1588.132493,0.192472,normal,305.671145,new_counterparty,imbalanced_flow,
W0052,W0347,2025-12-25 15:21:52,3678.826714,0.250192,normal,920.411856,high_wallet_velocity,new_counterparty,
W0052,W0538,2026-03-06 06:58:25,18.057239,0.481996,monitor,8.703525,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0053,W0278,2026-02-15 05:44:05,233.034252,0.357221,normal,83.244685,high_wallet_velocity,new_counterparty,imbalanced_flow
W0054,W0029,2025-12-29 04:15:38,1106.711233,0.222899,normal,246.685238,new_counterparty,imbalanced_flow,
W0054,W0092,2026-01-03 23:03:46,581.649614,0.245345,normal,142.704738,new_counterparty,imbalanced_flow,
W0054,W0519,2026-02-18 20:59:18,691.217189,0.311535,normal,215.338241,high_wallet_velocity,new_counterparty,imbalanced_flow
W0055,W0314,2026-01-18 08:52:39,106072.860755,0.51052,monitor,54152.293276,large_transfer,new_counterparty,imbalanced_flow
W0055,W0407,2026-01-21 20:56:26,22.830534,0.255757,normal,5.839065,high_wallet_velocity,new_counterparty,
W0055,W0351,2026-02-11 11:10:10,2255.475105,0.330265,normal,744.905212,high_wallet_velocity,new_counterparty,imbalanced_flow
W0055,W0319,2026-02-19 01:55:17,92.309057,0.216536,normal,19.988257,high_wallet_velocity,new_counterparty,imbalanced_flow
W0055,W0436,2026-03-06 17:46:13,1664.381259,0.311883,normal,519.092534,high_wallet_velocity,new_counterparty,imbalanced_flow
W0055,W0028,2026-03-08 08:40:29,229.690494,0.286796,normal,65.874228,high_wallet_velocity,new_counterparty,
W0056,W0318,2025-12-24 16:52:42,4.767248,0.135052,normal,0.643824,new_counterparty,,
W0056,W0746,2026-01-09 17:08:54,98.696368,0.365512,normal,36.074664,risky_address_exposure,new_counterparty,imbalanced_flow
W0056,W0523,2026-01-28 07:24:07,948.974614,0.406754,monitor,385.999503,high_wallet_velocity,new_counterparty,imbalanced_flow
W0056,W0559,2026-03-12 08:33:01,56.674262,0.299751,normal,16.988171,high_wallet_velocity,new_counterparty,imbalanced_flow
W0056,W0698,2026-03-20 23:46:56,1254.017606,0.573193,monitor,718.793627,risky_address_exposure,high_wallet_velocity,new_counterparty
W0057,W0401,2026-01-20 17:49:21,271.879957,0.339893,normal,92.41004,high_wallet_velocity,new_counterparty,imbalanced_flow
W0058,W0139,2026-01-13 07:56:12,10587.255485,0.400062,monitor,4235.553733,risky_address_exposure,new_counterparty,imbalanced_flow
W0058,W0189,2026-02-07 05:33:55,44.853842,0.261109,normal,11.711739,high_wallet_velocity,new_counterparty,
W0058,W0221,2026-02-12 22:01:50,283.601581,0.26999,normal,76.569624,new_counterparty,imbalanced_flow,
W0059,W0793,2025-12-28 10:45:03,47.967834,0.615584,monitor,29.528223,risky_address_exposure,new_counterparty,
W0059,W0170,2026-01-20 18:06:04,32.048327,0.354041,normal,11.34643,high_wallet_velocity,new_counterparty,
W0059,W0183,2026-02-05 22:03:13,36.632263,0.205072,normal,7.512243,new_counterparty,imbalanced_flow,
W0059,W0439,2026-02-19 12:40:00,1216.563236,0.332694,normal,404.743848,high_wallet_velocity,new_counterparty,imbalanced_flow
W0059,W0646,2026-02-19 14:14:42,162.670297,0.366595,normal,59.63411,high_wallet_velocity,new_counterparty,
W0060,W0038,2026-01-01 02:11:23,863.723572,0.649167,monitor,560.700839,high_counterparty_risk,risky_address_exposure,new_counterparty
W0060,W0210,2026-01-02 06:57:41,626.7508,0.183002,normal,114.696344,high_wallet_velocity,new_counterparty,
W0060,W0706,2026-01-19 10:37:30,9181.148091,0.826016,review,7583.772351,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0060,W0737,2026-02-11 08:12:31,26.225105,0.473271,monitor,12.411573,risky_address_exposure,new_counterparty,imbalanced_flow
W0060,W0279,2026-02-20 04:47:03,78.970282,0.291768,normal,23.040974,high_wallet_velocity,new_counterparty,imbalanced_flow
W0060,W0691,2026-03-01 06:15:15,616.97646,0.407539,monitor,251.44221,high_wallet_velocity,new_counterparty,imbalanced_flow
W0061,W0205,2026-01-03 15:16:35,73.91126,0.300678,normal,22.223475,high_wallet_velocity,new_counterparty,
W0061,W0001,2026-03-19 18:25:48,21.361738,0.323201,normal,6.90414,high_wallet_velocity,new_counterparty,imbalanced_flow
W0062,W0030,2026-02-02 13:37:40,9312.562953,0.192254,normal,1790.377238,new_counterparty,,
W0064,W0421,2026-01-03 17:38:51,61.181883,0.251773,normal,15.40396,high_wallet_velocity,new_counterparty,
W0064,W0136,2026-02-18 03:08:33,119.261273,0.356214,normal,42.48254,high_wallet_velocity,new_counterparty,imbalanced_flow
W0064,W0163,2026-02-22 14:31:59,5520.133163,0.248085,normal,1369.463465,high_wallet_velocity,new_counterparty,imbalanced_flow
W0064,W0531,2026-03-02 06:08:58,685.545188,0.319944,normal,219.335852,high_wallet_velocity,new_counterparty,imbalanced_flow
W0064,W0581,2026-03-07 03:20:23,173.107626,0.616974,monitor,106.802885,high_counterparty_risk,high_wallet_velocity,new_counterparty
W0066,W0595,2025-12-30 00:07:11,1834.978148,0.522323,monitor,958.450799,risky_address_exposure,high_wallet_velocity,new_counterparty
W0066,W0127,2025-12-31 18:28:35,721.33691,0.449174,monitor,324.005574,risky_address_exposure,new_counterparty,
W0066,W0183,2026-02-16 16:55:02,224.889255,0.26312,normal,59.172777,high_wallet_velocity,new_counterparty,
W0066,W0301,2026-02-17 08:13:25,668.276486,0.321016,normal,214.527317,high_wallet_velocity,new_counterparty,imbalanced_flow
W0066,W0021,2026-03-20 11:26:32,177.105998,0.509701,monitor,90.271139,risky_address_exposure,high_wallet_velocity,new_counterparty
W0067,W0432,2026-01-01 19:38:41,638.881644,0.673646,review,430.380096,risky_address_exposure,high_wallet_velocity,new_counterparty
W0067,W0108,2026-01-21 20:10:53,101.641363,0.343678,normal,34.931868,high_wallet_velocity,new_counterparty,imbalanced_flow
W0067,W0169,2026-02-16 12:02:45,822.877737,0.245707,normal,202.186588,high_wallet_velocity,new_counterparty,
W0068,W0521,2025-12-21 01:56:27,2882.958487,0.307235,normal,885.74558,high_wallet_velocity,new_counterparty,
W0068,W0544,2025-12-29 04:58:02,1366.663538,0.77066,review,1053.232333,high_counterparty_risk,risky_address_exposure,high_wallet_velocity
W0068,W0366,2026-02-06 14:37:42,1370.23014,0.235147,normal,322.205835,new_counterparty,imbalanced_flow,
W0068,W0692,2026-02-16 01:21:41,1213.938361,0.188359,normal,228.656413,new_counterparty,,
W0068,W0335,2026-02-25 03:26:33,288.721446,0.657251,review,189.762456,risky_address_exposure,high_wallet_velocity,new_counterparty
W0069,W0663,2025-12-27 22:11:26,55.807701,0.404028,monitor,22.547879,new_counterparty,,
W0069,W0148,2026-01-02 00:00:06,12414.476277,0.163258,normal,2026.761883,new_counterparty,imbalanced_flow,
W0069,W0169,2026-01-06 11:38:15,25.191217,0.63774,monitor,16.065444,risky_address_exposure,high_wallet_velocity,new_counterparty
W0069,W0303,2026-02-16 21:13:14,390.370021,0.486372,monitor,189.865157,risky_address_exposure,high_wallet_velocity,new_counterparty
W0071,W0647,2025-12-21 15:06:41,297.180943,0.199666,normal,59.336993,new_counterparty,imbalanced_flow,
W0071,W0722,2026-01-29 00:06:16,123.557408,0.385121,normal,47.584539,new_counterparty,imbalanced_flow,
W0071,W0681,2026-02-03 07:03:52,64.12043,0.3411,normal,21.871448,new_counterparty,imbalanced_flow,
W0071,W0467,2026-02-24 16:03:01,16633.572759,0.393519,normal,6545.629519,high_wallet_velocity,large_transfer,new_counterparty
W0071,W0110,2026-03-15 03:17:03,156.95023,0.193706,normal,30.402271,new_counterparty,imbalanced_flow,
W0072,W0569,2025-12-26 11:05:08,226.88588,0.306891,normal,69.629255,high_wallet_velocity,new_counterparty,imbalanced_flow
W0072,W0253,2026-02-05 15:09:22,60.462147,0.29264,normal,17.693661,high_wallet_velocity,new_counterparty,imbalanced_flow
W0072,W0546,2026-03-10 21:13:43,825.091568,0.191589,normal,158.078116,high_wallet_velocity,new_counterparty,
W0073,W0611,2025-12-23 12:54:10,92.620957,0.237527,normal,21.999985,high_wallet_velocity,new_counterparty,imbalanced_flow
W0073,W0241,2025-12-23 14:15:53,785.998846,0.280131,normal,220.182369,high_wallet_velocity,new_counterparty,imbalanced_flow
W0073,W0584,2026-01-07 15:55:43,369.248712,0.455739,monitor,168.281045,risky_address_exposure,high_wallet_velocity,new_counterparty
W0073,W0310,2026-01-28 16:56:00,184.416247,0.477223,monitor,88.007621,risky_address_exposure,new_counterparty,imbalanced_flow
