transaction_id,account_id,transaction_time,amount,merchant_category,merchant_risk_band,location_proxy,device_proxy,account_age_days,transaction_count_24h,amount_count_24h,fraud_flag,chargeback_loss,velocity_1h,velocity_24h,merchant_risk_score,new_device_flag,new_location_flag,night_transaction_flag,high_amount_flag,account_tenure_band,amount_zscore_by_account
TXN-000047,ACCT-00380,2024-01-05 10:03:48,68.26,restaurant,low,home_region,known_device_b,411,2,156.65,0,0.0,0,3,0.1,0,0,0,0,established,0.247
TXN-000048,ACCT-00074,2024-01-05 00:02:04,87.0,other,medium,home_region,known_device_b,58,2,195.4,0,0.0,2,3,0.45,0,0,1,0,seasoning,0.2211
TXN-000049,ACCT-00343,2024-01-05 23:54:58,14.1,digital_goods,high,home_region,known_device_b,777,5,76.83,0,0.0,1,7,0.82,0,0,1,0,long_tenure,-1.6703
TXN-000050,ACCT-00037,2024-01-05 21:29:17,70.26,grocery,low,distant_region,known_device_b,1547,4,264.66,0,0.0,2,4,0.1,0,1,0,0,long_tenure,1.377
TXN-000051,ACCT-00888,2024-01-05 13:51:44,33.33,grocery,low,home_region,new_device,1722,7,193.67,0,0.0,0,7,0.1,1,0,0,0,long_tenure,-1.544
TXN-000052,ACCT-00827,2024-01-05 19:24:13,23.3,travel,medium,distant_region,known_device_a,1670,3,82.21,0,0.0,1,3,0.45,0,0,0,0,long_tenure,-0.3326
TXN-000053,ACCT-00638,2024-01-05 13:24:19,57.74,grocery,low,adjacent_region,new_device,417,7,505.07,0,0.0,2,7,0.1,1,0,0,0,established,-0.4018
TXN-000054,ACCT-00779,2024-01-05 06:20:59,79.28,cash_like,high,home_region,new_device,193,9,583.0,0,0.0,1,9,0.82,1,0,0,0,established,-0.9508
TXN-000055,ACCT-00540,2024-01-05 06:55:43,91.35,grocery,low,adjacent_region,known_device_a,1143,3,261.87,0,0.0,0,5,0.1,0,0,0,0,long_tenure,0.0325
TXN-000056,ACCT-00872,2024-01-05 16:13:01,40.38,restaurant,low,home_region,known_device_b,1173,3,101.82,0,0.0,0,6,0.1,0,0,0,0,long_tenure,-1.2892
TXN-000057,ACCT-00887,2024-01-06 15:11:51,180.56,electronics,medium,home_region,known_device_b,1314,2,304.3,0,0.0,0,7,0.45,0,0,0,1,long_tenure,1.6333
TXN-000058,ACCT-00469,2024-01-06 23:19:35,94.38,fuel,low,distant_region,known_device_a,1467,1,89.64,0,0.0,1,3,0.1,0,0,1,0,long_tenure,0.535
TXN-000059,ACCT-00447,2024-01-06 20:14:44,180.15,restaurant,low,home_region,known_device_b,1670,2,371.82,0,0.0,0,3,0.1,0,0,0,1,long_tenure,0.6139
TXN-000060,ACCT-00686,2024-01-06 15:37:33,80.17,restaurant,low,home_region,known_device_b,1350,1,95.4,0,0.0,1,2,0.1,0,0,0,0,long_tenure,-0.6747
TXN-000061,ACCT-00667,2024-01-06 14:57:55,34.42,other,medium,home_region,known_device_b,1616,4,134.53,0,0.0,0,6,0.45,0,0,0,0,long_tenure,0.2026
TXN-000062,ACCT-00788,2024-01-06 21:49:05,128.95,other,medium,home_region,known_device_b,424,5,544.7,0,0.0,0,7,0.45,0,0,0,0,established,1.3413
TXN-000063,ACCT-00724,2024-01-06 18:20:33,72.68,grocery,low,home_region,known_device_a,1179,1,57.08,0,0.0,1,2,0.1,0,0,0,0,long_tenure,-0.2338
TXN-000064,ACCT-00527,2024-01-06 14:25:02,30.68,grocery,low,home_region,known_device_a,1837,3,90.56,0,0.0,0,3,0.1,0,0,0,0,long_tenure,-0.651
TXN-000065,ACCT-00208,2024-01-06 06:07:38,20.46,other,medium,home_region,known_device_a,576,4,85.24,0,0.0,1,4,0.45,0,0,0,0,established,-0.7442
TXN-000066,ACCT-00003,2024-01-06 08:47:43,39.45,other,medium,distant_region,known_device_b,1534,2,68.99,0,0.0,0,3,0.45,0,0,0,0,long_tenure,-0.2328
TXN-000067,ACCT-00134,2024-01-06 09:04:24,55.98,travel,medium,home_region,known_device_b,1610,3,130.85,0,0.0,0,5,0.45,0,0,0,0,long_tenure,0.4629
TXN-000068,ACCT-00641,2024-01-06 15:44:29,102.58,fuel,low,home_region,known_device_a,1001,3,320.35,0,0.0,0,3,0.1,0,0,0,0,long_tenure,-0.6119
TXN-000069,ACCT-00616,2024-01-06 10:23:16,10.25,grocery,low,home_region,known_device_b,283,4,46.2,0,0.0,0,7,0.1,0,0,0,0,established,-1.4766
TXN-000070,ACCT-00907,2024-01-07 04:13:16,13.39,electronics,medium,home_region,known_device_a,282,1,11.77,0,0.0,1,3,0.45,0,0,1,0,established,-1.1933
TXN-000071,ACCT-00709,2024-01-07 08:41:11,152.45,electronics,medium,home_region,known_device_a,294,2,349.73,0,0.0,1,3,0.45,0,1,0,1,established,1.1342
TXN-000072,ACCT-00468,2024-01-07 08:06:21,51.02,travel,medium,home_region,known_device_a,616,3,186.26,0,0.0,0,6,0.45,0,0,0,0,established,0.5306
TXN-000073,ACCT-00577,2024-01-07 10:39:38,83.39,other,medium,cross_border,known_device_a,1451,3,303.83,0,0.0,1,3,0.45,0,0,0,0,long_tenure,0.6459
TXN-000074,ACCT-00136,2024-01-07 21:14:24,12.61,grocery,low,adjacent_region,known_device_a,1665,3,39.0,0,0.0,0,3,0.1,0,0,0,0,long_tenure,-1.2153
TXN-000075,ACCT-00226,2024-01-07 01:07:16,17.02,other,medium,home_region,known_device_a,471,4,55.43,0,0.0,0,4,0.45,0,0,1,0,established,-0.3152
TXN-000076,ACCT-00195,2024-01-07 13:37:50,60.74,cash_like,high,home_region,new_device,9,4,214.19,0,0.0,1,5,0.82,1,1,0,0,new,-0.161
TXN-000077,ACCT-00371,2024-01-07 05:27:05,23.92,restaurant,low,home_region,known_device_a,76,4,98.04,0,0.0,1,4,0.1,0,0,0,0,seasoning,0.0948
TXN-000078,ACCT-00567,2024-01-07 01:51:36,27.95,fuel,low,adjacent_region,known_device_a,1812,2,46.62,0,0.0,0,2,0.1,0,0,1,0,long_tenure,-1.6893
TXN-000079,ACCT-00096,2024-01-07 18:10:09,48.96,grocery,low,distant_region,known_device_a,1409,4,154.02,0,0.0,1,6,0.1,0,0,0,0,long_tenure,-0.5086
TXN-000080,ACCT-00637,2024-01-08 02:04:48,44.51,other,medium,home_region,known_device_a,1401,5,271.43,0,0.0,0,7,0.45,0,0,1,0,long_tenure,-1.4805
TXN-000081,ACCT-00600,2024-01-08 04:35:07,125.52,cash_like,high,distant_region,known_device_a,451,4,512.3,0,0.0,0,5,0.82,0,0,1,0,established,0.4616
TXN-000082,ACCT-00450,2024-01-08 11:40:53,82.41,electronics,medium,home_region,known_device_b,230,2,197.73,0,0.0,2,5,0.45,0,0,0,0,established,-0.0447
TXN-000083,ACCT-00499,2024-01-08 04:17:40,17.44,cash_like,high,home_region,known_device_b,544,4,83.17,0,0.0,0,5,0.82,0,0,1,0,established,-1.2328
TXN-000084,ACCT-00061,2024-01-08 22:39:56,25.08,other,medium,home_region,known_device_b,1751,2,43.08,0,0.0,0,3,0.45,0,0,0,0,long_tenure,-1.0603
TXN-000085,ACCT-00607,2024-01-08 00:44:36,39.02,fuel,low,home_region,known_device_b,360,2,66.62,0,0.0,0,4,0.1,0,0,1,0,established,-0.1269
TXN-000086,ACCT-00645,2024-01-08 11:29:58,43.39,restaurant,low,adjacent_region,known_device_b,758,2,94.53,0,0.0,1,3,0.1,0,0,0,0,long_tenure,-0.8107
TXN-000087,ACCT-00156,2024-01-08 19:41:20,27.58,digital_goods,high,adjacent_region,new_device,1656,6,182.68,0,0.0,0,9,0.82,1,0,0,0,long_tenure,-0.3475
TXN-000088,ACCT-00412,2024-01-08 00:45:48,153.15,restaurant,low,adjacent_region,known_device_a,332,2,362.42,0,0.0,0,3,0.1,0,0,1,1,established,1.2622
TXN-000089,ACCT-00008,2024-01-08 03:59:15,48.02,fuel,low,cross_border,known_device_b,1408,3,149.13,0,0.0,0,3,0.1,0,0,1,0,long_tenure,-0.4904
TXN-000090,ACCT-00924,2024-01-08 02:22:24,56.21,electronics,medium,adjacent_region,known_device_a,1495,5,230.72,0,0.0,2,6,0.45,0,1,1,0,long_tenure,0.7402
TXN-000091,ACCT-00209,2024-01-09 22:04:34,92.82,digital_goods,high,home_region,known_device_b,795,3,258.72,0,0.0,2,5,0.82,0,0,0,0,long_tenure,0.9275
TXN-000092,ACCT-00759,2024-01-09 22:53:44,103.3,fuel,low,home_region,known_device_a,749,8,902.09,0,0.0,0,10,0.1,0,0,0,0,long_tenure,0.4421
TXN-000093,ACCT-00040,2024-01-09 18:01:15,86.27,fuel,low,home_region,known_device_a,271,2,191.67,0,0.0,1,3,0.1,0,0,0,0,established,-0.0439
TXN-000094,ACCT-00546,2024-01-09 09:30:58,45.93,digital_goods,high,adjacent_region,known_device_a,415,7,299.06,0,0.0,1,9,0.82,0,0,0,0,established,-0.5795
TXN-000095,ACCT-00029,2024-01-09 19:51:21,116.91,electronics,medium,home_region,known_device_a,1461,6,765.98,0,0.0,0,7,0.45,0,0,0,0,long_tenure,1.1882
TXN-000096,ACCT-00836,2024-01-09 21:34:10,24.15,digital_goods,high,adjacent_region,known_device_b,1750,8,154.14,0,0.0,0,8,0.82,0,0,0,0,long_tenure,-0.2011
TXN-000097,ACCT-00934,2024-01-09 22:28:41,36.81,restaurant,low,distant_region,known_device_a,283,4,133.33,0,0.0,0,6,0.1,0,0,0,0,established,-0.6956
TXN-000098,ACCT-00659,2024-01-10 03:47:40,40.33,grocery,low,home_region,known_device_a,1149,4,152.83,0,0.0,0,4,0.1,0,0,1,0,long_tenure,-0.4995
TXN-000099,ACCT-00291,2024-01-10 13:05:47,9.41,grocery,low,home_region,known_device_a,219,3,33.54,0,0.0,0,5,0.1,0,0,0,0,established,-1.4457
TXN-000100,ACCT-00095,2024-01-10 21:15:41,88.94,grocery,low,home_region,known_device_b,851,5,459.5,0,0.0,0,6,0.1,0,0,0,0,long_tenure,0.4533
TXN-000101,ACCT-00569,2024-01-10 09:28:07,20.34,fuel,low,home_region,known_device_b,118,7,136.59,0,0.0,0,11,0.1,0,0,0,0,seasoning,-0.5385
TXN-000102,ACCT-00470,2024-01-10 19:28:38,35.49,digital_goods,high,home_region,known_device_b,714,9,323.55,0,0.0,0,11,0.82,0,0,0,0,established,-0.1898
TXN-000103,ACCT-00035,2024-01-10 02:13:35,23.03,digital_goods,high,cross_border,known_device_a,1505,3,59.63,0,0.0,0,4,0.82,0,0,1,0,long_tenure,-1.7523
TXN-000104,ACCT-00593,2024-01-10 06:08:17,25.41,grocery,low,home_region,known_device_a,1211,2,54.6,0,0.0,2,3,0.1,0,0,0,0,long_tenure,-1.2996
TXN-000105,ACCT-00323,2024-01-10 20:09:49,140.2,digital_goods,high,home_region,known_device_a,1790,2,212.22,0,0.0,0,5,0.82,0,0,0,0,long_tenure,0.2308
TXN-000106,ACCT-00249,2024-01-10 19:23:02,45.89,digital_goods,high,home_region,known_device_b,227,1,44.1,0,0.0,0,1,0.82,0,0,0,0,established,0.3833
TXN-000107,ACCT-00491,2024-01-11 15:27:35,31.9,travel,medium,home_region,known_device_a,41,4,149.98,0,0.0,0,5,0.45,0,0,0,0,seasoning,-2.0683
TXN-000108,ACCT-00631,2024-01-11 01:52:28,176.36,electronics,medium,adjacent_region,known_device_b,81,1,163.27,0,0.0,0,1,0.45,0,0,1,1,seasoning,0.8256
TXN-000109,ACCT-00179,2024-01-11 08:04:58,42.07,grocery,low,home_region,known_device_a,1434,1,48.35,0,0.0,0,1,0.1,0,0,0,0,long_tenure,-0.9058
TXN-000110,ACCT-00621,2024-01-11 04:27:24,77.68,travel,medium,home_region,known_device_a,1112,2,174.57,0,0.0,0,4,0.45,0,0,1,0,long_tenure,0.1342
TXN-000111,ACCT-00468,2024-01-11 14:46:01,81.31,grocery,low,distant_region,known_device_b,616,3,280.84,0,0.0,0,3,0.1,0,0,0,0,established,1.2311
TXN-000112,ACCT-00405,2024-01-11 03:35:12,101.61,grocery,low,cross_border,known_device_a,366,5,559.31,0,0.0,0,6,0.1,0,0,1,0,established,-0.7313
TXN-000113,ACCT-00782,2024-01-11 01:57:38,49.13,restaurant,low,home_region,new_device,100,4,233.16,0,0.0,1,4,0.1,1,0,1,0,seasoning,0.5794
TXN-000114,ACCT-00144,2024-01-11 16:22:51,28.0,restaurant,low,home_region,known_device_a,392,2,62.88,0,0.0,1,2,0.1,0,0,0,0,established,-0.3695
TXN-000115,ACCT-00324,2024-01-11 15:53:08,213.21,restaurant,low,home_region,known_device_b,1060,5,1187.7,0,0.0,0,5,0.1,0,0,0,1,long_tenure,0.9794
TXN-000116,ACCT-00914,2024-01-11 17:39:15,107.89,restaurant,low,cross_border,known_device_b,1161,2,217.38,0,0.0,0,4,0.1,0,1,0,0,long_tenure,0.9006
TXN-000117,ACCT-00246,2024-01-11 07:55:20,41.24,restaurant,low,home_region,known_device_a,891,3,123.6,0,0.0,0,4,0.1,0,0,0,0,long_tenure,-1.0992
TXN-000118,ACCT-00002,2024-01-11 08:03:30,57.83,travel,medium,home_region,new_device,1072,4,200.6,0,0.0,0,4,0.45,1,0,0,0,long_tenure,0.1657
TXN-000119,ACCT-00330,2024-01-11 16:37:42,64.17,restaurant,low,home_region,known_device_b,783,2,136.66,0,0.0,0,3,0.1,0,0,0,0,long_tenure,0.1605
TXN-000120,ACCT-00229,2024-01-11 20:14:06,19.14,restaurant,low,home_region,known_device_b,1744,2,39.41,0,0.0,0,3,0.1,0,0,0,0,long_tenure,-1.2029
TXN-000121,ACCT-00196,2024-01-11 02:21:58,10.95,electronics,medium,home_region,known_device_a,187,3,40.68,0,0.0,0,5,0.45,0,0,1,0,established,-0.9666
TXN-000122,ACCT-00377,2024-01-12 20:02:44,53.32,grocery,low,home_region,known_device_b,950,1,49.78,0,0.0,0,2,0.1,0,0,0,0,long_tenure,-1.097
TXN-000123,ACCT-00236,2024-01-12 11:11:02,15.65,cash_like,high,home_region,known_device_a,1670,5,83.7,0,0.0,1,5,0.82,0,0,0,0,long_tenure,-0.822
TXN-000124,ACCT-00531,2024-01-12 05:46:08,68.05,other,medium,home_region,known_device_b,890,4,321.58,0,0.0,3,5,0.45,0,0,0,0,long_tenure,0.8626
TXN-000125,ACCT-00175,2024-01-12 19:32:14,16.91,electronics,medium,home_region,new_device,1652,3,44.13,0,0.0,0,3,0.45,1,0,0,0,long_tenure,-1.1395
TXN-000126,ACCT-00652,2024-01-12 16:50:07,88.41,grocery,low,home_region,known_device_a,1222,2,150.16,0,0.0,2,2,0.1,0,0,0,0,long_tenure,0.4358
TXN-000127,ACCT-00518,2024-01-12 12:05:40,73.7,restaurant,low,home_region,known_device_b,955,1,72.49,0,0.0,0,3,0.1,0,0,0,0,long_tenure,0.4699
TXN-000128,ACCT-00476,2024-01-12 16:37:58,44.19,grocery,low,home_region,new_device,166,2,96.66,0,0.0,4,2,0.1,1,0,0,0,seasoning,-0.1902
TXN-000129,ACCT-00421,2024-01-12 20:10:12,333.09,grocery,low,home_region,known_device_a,787,2,753.46,0,0.0,0,4,0.1,0,0,0,1,long_tenure,1.5421
TXN-000130,ACCT-00293,2024-01-12 05:43:00,104.28,grocery,low,home_region,known_device_b,1682,4,323.08,0,0.0,0,4,0.1,0,0,0,0,long_tenure,1.3973
TXN-000131,ACCT-00649,2024-01-12 07:44:35,41.57,fuel,low,home_region,known_device_b,1335,1,51.42,0,0.0,0,3,0.1,0,0,0,0,long_tenure,0.5638
TXN-000132,ACCT-00575,2024-01-12 08:58:08,181.38,restaurant,low,home_region,known_device_b,251,1,217.75,0,0.0,1,4,0.1,0,0,0,1,established,-0.0539
TXN-000133,ACCT-00333,2024-01-12 15:06:06,108.46,grocery,low,cross_border,known_device_a,839,2,228.77,0,0.0,0,2,0.1,0,0,0,0,long_tenure,1.2464
TXN-000134,ACCT-00657,2024-01-12 22:10:11,6.97,electronics,medium,home_region,known_device_a,583,2,15.1,0,0.0,0,5,0.45,0,0,0,0,established,-1.6434
TXN-000135,ACCT-00450,2024-01-12 02:00:58,51.42,electronics,medium,distant_region,known_device_b,230,2,80.28,0,0.0,1,2,0.45,0,0,1,0,established,-0.7768
TXN-000136,ACCT-00062,2024-01-12 04:30:42,125.42,digital_goods,high,home_region,known_device_a,306,6,912.67,0,0.0,2,9,0.82,0,0,1,0,established,0.7508
TXN-000137,ACCT-00455,2024-01-12 17:54:27,89.16,grocery,low,adjacent_region,known_device_a,100,2,148.02,0,0.0,1,4,0.1,0,0,0,0,seasoning,0.0998
TXN-000138,ACCT-00662,2024-01-12 11:39:18,133.65,restaurant,low,home_region,known_device_b,1079,1,156.84,0,0.0,0,2,0.1,0,0,0,0,long_tenure,-0.723
TXN-000139,ACCT-00771,2024-01-13 04:14:49,194.96,electronics,medium,distant_region,known_device_b,543,2,375.51,0,0.0,1,3,0.45,0,0,1,1,established,1.7607
TXN-000140,ACCT-00203,2024-01-13 18:01:04,21.73,restaurant,low,adjacent_region,known_device_b,1249,3,60.59,0,0.0,0,4,0.1,0,0,0,0,long_tenure,-0.617
TXN-000141,ACCT-00491,2024-01-13 02:16:47,107.97,other,medium,distant_region,known_device_b,41,4,333.23,0,0.0,0,6,0.45,0,0,1,0,seasoning,0.7142
TXN-000142,ACCT-00211,2024-01-13 14:23:19,31.5,travel,medium,home_region,new_device,1423,6,210.71,0,0.0,0,9,0.45,1,0,0,0,long_tenure,-0.4828
TXN-000143,ACCT-00657,2024-01-13 03:57:20,44.08,digital_goods,high,home_region,known_device_b,583,3,112.96,0,0.0,0,5,0.82,0,0,1,0,established,0.5332
TXN-000144,ACCT-00543,2024-01-13 04:36:39,77.05,electronics,medium,cross_border,known_device_a,862,2,181.67,1,54.5,3,4,0.45,0,0,1,0,long_tenure,0.3312
TXN-000145,ACCT-00651,2024-01-13 05:24:46,19.27,restaurant,low,home_region,known_device_a,1275,1,16.49,0,0.0,1,2,0.1,0,0,0,0,long_tenure,-0.226
TXN-000146,ACCT-00073,2024-01-13 08:02:16,40.07,grocery,low,home_region,known_device_b,1191,2,85.12,0,0.0,0,4,0.1,0,0,0,0,long_tenure,0.6339
TXN-000147,ACCT-00178,2024-01-13 05:21:57,125.64,electronics,medium,home_region,known_device_b,555,3,331.81,0,0.0,1,4,0.45,0,1,0,0,established,1.5275
TXN-000148,ACCT-00196,2024-01-14 18:01:13,88.51,electronics,medium,home_region,known_device_a,187,1,76.75,0,0.0,0,2,0.45,0,1,0,0,established,1.6479
TXN-000149,ACCT-00472,2024-01-14 00:37:52,149.11,restaurant,low,home_region,known_device_b,908,5,579.33,0,0.0,0,8,0.1,0,0,1,1,long_tenure,1.5427
TXN-000150,ACCT-00344,2024-01-14 16:17:17,101.84,digital_goods,high,home_region,known_device_a,1085,4,471.01,0,0.0,1,8,0.82,0,0,0,0,long_tenure,-0.0453
TXN-000151,ACCT-00411,2024-01-14 05:21:01,20.26,digital_goods,high,home_region,new_device,768,6,148.75,0,0.0,2,6,0.82,1,0,0,0,long_tenure,-1.0674
TXN-000152,ACCT-00377,2024-01-14 07:16:04,333.13,restaurant,low,home_region,known_device_b,950,4,1229.32,0,0.0,0,4,0.1,0,0,0,1,long_tenure,1.4401
