wallet_id,counterparty_wallet_id,transaction_time,token_type,amount_usd,wallet_age_days,inflow_24h,outflow_24h,transaction_count_24h,counterparty_risk_score,risky_address_exposure_flag,stablecoin_risk_label,is_synthetic
W0658,W0168,2026-01-05T06:26:21,USDT,64.084463,548,1010.361719,369.622039,10,0.287827,0,0,True
W0376,W0330,2025-12-24T08:59:22,USDT,608.18188,867,1052.46348,69.737996,7,0.071254,0,0,True
W0401,W0782,2026-01-22T08:13:26,USDC,78.018684,640,221.807703,441.883187,6,0.788416,0,1,True
W0093,W0335,2025-12-25T08:33:45,USDC,506.116588,475,612.620655,78.314479,13,0.182851,1,1,True
W0018,W0383,2025-12-25T06:07:41,BUSD,3603.775708,771,89.926552,14.315385,16,0.299041,0,0,True
W0136,W0188,2026-02-12T17:05:57,BUSD,6974.46837,15,1391.777961,7.414899,14,0.166942,0,0,True
W0208,W0746,2026-02-28T10:32:11,USDT,13.195156,716,705.253781,61.682268,12,0.175945,1,0,True
W0455,W0219,2026-02-26T12:07:53,BUSD,110.285895,1281,185.597086,108.005632,10,0.54434,0,1,True
W0533,W0544,2026-01-12T18:02:25,USDT,240.502915,1072,111.979829,41.382769,21,0.28659,0,0,True
W0569,W0778,2026-01-06T20:41:57,USDC,899.501219,614,91.108366,100.11885,12,0.23242,0,0,True
W0463,W0783,2025-12-24T21:55:49,USDC,24.520453,782,28.071556,11.986765,1,0.275441,0,0,True
W0486,W0414,2026-02-14T02:08:45,USDT,2255.693915,295,1320.654991,907.799379,2,0.274859,0,0,True
W0597,W0736,2025-12-30T23:12:44,USDT,625.714338,569,1003.044967,85.879058,17,0.359093,0,0,True
W0478,W0739,2026-03-09T08:44:15,USDT,13812.203979,159,89.146414,782.691025,11,0.05466,0,0,True
W0786,W0070,2025-12-22T17:48:21,USDT,249.193825,895,15.618012,959.706892,14,0.134276,0,0,True
W0050,W0427,2026-03-20T11:37:32,USDC,6.275195,698,596.319439,171.335248,4,0.312029,1,1,True
W0089,W0672,2026-02-23T10:38:27,USDT,23557.215493,1120,28.476665,391.750714,8,0.0771,0,0,True
W0637,W0551,2026-01-04T20:31:54,BUSD,1080.218749,239,615.242963,194.20547,27,0.099028,1,0,True
W0291,W0614,2026-01-06T09:24:44,USDC,157.602875,1244,139.5292,111.948367,29,0.543921,1,1,True
W0136,W0790,2025-12-27T02:22:43,USDT,86.886622,1290,106.800407,839.034086,16,0.058859,0,0,True
W0715,W0177,2025-12-22T04:08:02,USDC,1.617997,808,138.86488,37.596737,27,0.216947,0,0,True
W0475,W0135,2026-02-12T13:23:02,USDT,1935.954041,259,20.031214,389.23227,3,0.178375,0,0,True
W0749,W0791,2026-01-08T23:37:15,USDC,985.813927,910,161.355851,185.603501,7,0.058515,0,0,True
W0762,W0485,2025-12-25T07:10:52,USDT,999.704088,1392,1957.675908,201.326134,10,0.129838,0,0,True
W0522,W0553,2026-02-17T10:35:27,USDT,2540.605119,967,159.080057,110.475832,14,0.111471,1,0,True
W0404,W0183,2026-03-08T16:51:19,USDT,10.815722,991,100.411647,18.443056,25,0.871598,1,0,True
W0445,W0244,2026-01-29T20:44:56,USDT,1201.445245,894,182.102094,60.644954,21,0.071966,0,0,True
W0356,W0597,2026-02-28T12:24:40,USDC,36.306977,543,168.631766,900.470256,2,0.076333,0,0,True
W0732,W0270,2026-03-05T06:14:15,USDT,8692.287691,804,23.572561,57.862443,26,0.133048,0,0,True
W0714,W0768,2026-02-25T09:24:06,DAI,15.903842,1387,318.53829,57.764446,23,0.639448,0,0,True
W0561,W0450,2026-02-01T08:25:24,USDC,47.66966,1021,1172.725293,29.99672,27,0.066351,0,0,True
W0634,W0542,2026-03-06T12:55:04,USDT,895.563865,624,1116.285245,2.415792,1,0.305866,0,0,True
W0001,W0010,2026-01-18T08:37:13,USDC,898.258976,885,154.82779,33.034371,6,0.335777,0,0,True
W0792,W0687,2025-12-21T03:49:00,USDT,16.564763,671,7.161125,2391.07819,14,0.188566,1,1,True
W0572,W0489,2026-01-25T04:37:13,DAI,2364.831177,489,11.426236,757.277283,19,0.041499,0,0,True
W0397,W0605,2026-01-13T06:06:37,BUSD,202.883454,614,382.064144,1337.185196,29,0.490229,0,0,True
W0366,W0173,2025-12-22T03:44:45,USDT,992.372335,732,51.305553,60.265863,9,0.105613,0,0,True
W0179,W0209,2026-02-03T17:39:13,USDC,96.494701,1222,26.411132,26.330786,26,0.056733,0,0,True
W0031,W0138,2026-01-20T16:56:01,USDC,40.316593,506,550.567299,70.30518,22,0.127059,0,0,True
W0426,W0446,2026-02-14T07:14:34,USDC,78.665214,895,135.730704,111.662022,15,0.391311,1,1,True
W0668,W0704,2026-02-23T12:40:47,USDT,811.033229,196,45.898387,180.438214,21,0.074804,0,0,True
W0607,W0028,2026-01-07T21:11:36,BUSD,24929.924384,1468,452.597217,61.426097,28,0.776307,1,0,True
W0403,W0327,2026-03-16T04:07:56,USDT,139.724267,452,1475.555815,20.326638,25,0.206487,0,0,True
W0389,W0594,2026-03-14T01:36:51,DAI,61.912058,1340,206.716632,361.790677,1,0.148155,0,0,True
W0366,W0688,2026-01-05T00:01:32,DAI,52.091984,1329,4.756171,59.844087,25,0.921076,0,0,True
W0697,W0329,2026-01-06T23:15:15,USDC,475.091399,1156,88.661644,57.919529,18,0.466522,0,0,True
W0512,W0176,2026-01-22T21:13:17,DAI,267.824382,326,356.237096,1191.190393,1,0.064945,0,0,True
W0437,W0736,2026-02-28T10:30:20,USDC,24.904817,1279,207.724965,13.858337,5,0.208285,0,0,True
W0187,W0276,2026-01-24T09:57:37,USDT,31372.434394,1106,69.075594,83.349958,23,0.214954,0,0,True
W0513,W0524,2026-01-29T18:13:02,DAI,1303.722598,403,1682.696447,33.939505,1,0.055807,0,0,True
W0089,W0050,2026-01-01T10:08:32,DAI,5208.96208,1350,44.339744,247.118681,9,0.651169,1,1,True
W0483,W0781,2026-02-15T00:16:35,USDC,53.100068,489,541.078771,252.796995,24,0.595237,0,0,True
W0300,W0752,2026-02-23T05:46:39,USDC,1300.285126,1454,1999.651715,248.389531,2,0.077423,1,0,True
W0378,W0086,2026-02-11T17:35:06,USDT,2403.893199,824,183.913176,157.07711,16,0.451073,1,1,True
W0343,W0682,2026-01-04T11:09:56,USDC,423.937259,862,127.56892,255.271615,22,0.311295,0,0,True
W0338,W0504,2026-03-17T07:38:22,USDC,34.043805,821,124.122404,168.737472,16,0.052461,0,0,True
W0394,W0047,2026-01-22T16:07:52,USDT,13.809178,107,1.740752,4.828803,18,0.799944,1,0,True
W0615,W0009,2026-03-16T03:40:41,BUSD,52.587494,834,975.194343,58.019285,16,0.320658,0,0,True
W0731,W0742,2026-02-03T00:19:25,USDT,1926.611865,407,82.014387,69.944461,7,0.10183,0,0,True
W0096,W0602,2026-03-04T04:52:13,USDT,1200.207261,633,243.920354,31.213647,6,0.180073,0,0,True
W0693,W0352,2026-03-20T06:14:15,USDT,1576.416643,1001,307.902151,50.597675,14,0.03065,0,0,True
W0764,W0399,2026-01-13T20:52:50,USDC,94.433473,1438,50.01909,18.385043,6,0.200339,0,0,True
W0778,W0041,2026-01-11T06:03:56,USDT,329.661848,1390,929.251146,38.836373,14,0.113713,0,0,True
W0270,W0790,2026-01-16T01:06:54,BUSD,1084.582717,232,18.891488,17.57136,11,0.06623,0,0,True
W0501,W0347,2026-03-19T17:48:37,USDT,4.107375,314,233.738288,2786.807716,9,0.14457,1,0,True
W0310,W0541,2026-01-01T01:44:58,DAI,1567.774341,16,154.945572,157.300038,15,0.552528,1,1,True
W0323,W0128,2026-02-10T04:50:33,USDT,4.828158,1289,91.735207,104.787214,25,0.089478,0,1,True
W0699,W0525,2026-01-21T23:38:00,DAI,27.575858,840,781.04172,6.918014,4,0.122625,0,0,True
W0133,W0385,2026-02-19T19:04:47,USDT,238.981766,762,601.004569,76.892823,19,0.143203,0,0,True
W0064,W0581,2026-03-07T03:20:23,BUSD,173.107626,476,3105.48862,29.140182,23,0.859399,0,1,True
W0246,W0561,2026-03-08T23:01:57,USDC,158.741451,690,194.22839,83.425999,18,0.199912,0,0,True
W0760,W0165,2026-01-29T17:53:40,USDC,737.715128,639,144.147537,3433.318481,1,0.099113,0,0,True
W0584,W0699,2026-03-02T20:40:30,USDT,2793.950352,1073,985.167163,5.822991,25,0.370676,1,1,True
W0799,W0281,2026-01-17T03:10:23,USDC,29.446444,155,96.024345,54.865813,18,0.786537,1,0,True
W0607,W0783,2026-01-09T13:39:42,USDT,197.922795,941,97.866039,253.158638,24,0.182208,0,1,True
W0252,W0546,2026-03-14T11:45:44,USDC,2321.366469,67,587.662567,306.63729,4,0.118039,0,0,True
W0248,W0707,2026-02-05T18:40:52,USDT,37460.018153,902,209.609582,330.655347,27,0.181789,0,0,True
W0412,W0274,2026-01-30T17:32:46,USDC,69.62576,670,390.674247,328.752488,6,0.951579,1,1,True
W0700,W0453,2026-02-26T10:55:04,BUSD,440.675226,1361,77.649964,2239.895,23,0.220369,0,0,True
W0508,W0094,2026-02-07T01:04:55,BUSD,2881.161367,1084,43.813578,158.802899,28,0.357156,0,0,True
W0181,W0535,2025-12-21T02:12:33,DAI,991.182028,1232,19.216573,320.421177,24,0.168842,0,0,True
W0690,W0729,2026-01-26T02:28:41,USDT,580.685202,1090,137.918177,351.739318,2,0.393601,0,0,True
W0663,W0391,2026-03-18T18:57:46,USDC,239.073715,866,294.628144,71.186193,16,0.09934,0,1,True
W0168,W0564,2026-02-06T09:01:48,DAI,287.819191,586,61.819641,10.080201,1,0.336628,1,1,True
W0778,W0027,2026-01-02T06:00:17,USDT,7508.953968,145,1278.26733,108.211893,8,0.129342,0,0,True
W0627,W0240,2026-02-17T11:13:52,USDT,7.685888,1394,146.720078,322.406278,5,0.279072,0,0,True
W0698,W0707,2025-12-24T20:08:07,USDC,23087.801444,768,517.872297,34.382813,4,0.198462,0,0,True
W0776,W0034,2026-03-13T11:20:02,USDT,711.345309,659,41.723679,106.428766,7,0.25745,0,0,True
W0638,W0477,2025-12-30T22:05:07,DAI,2040.027668,1397,318.989147,228.372051,6,0.900135,1,1,True
W0646,W0278,2026-03-11T05:23:19,USDT,229.006875,56,86.40824,52.007841,27,0.193441,0,0,True
W0489,W0023,2026-02-23T11:37:40,USDC,83.47615,821,17.192888,84.949921,22,0.08878,0,0,True
W0281,W0431,2026-01-17T02:16:27,DAI,237.528765,559,20.479166,25.311876,20,0.391291,0,0,True
W0324,W0737,2026-02-17T10:31:27,USDT,12.643563,1064,148.36205,455.753628,28,0.698792,1,1,True
W0632,W0186,2026-01-23T06:51:32,USDT,44.118136,152,60.694315,67.756338,27,0.251652,1,0,True
W0086,W0177,2026-02-15T07:36:56,USDC,340.6648,564,1233.217495,126.931929,27,0.2427,0,0,True
W0786,W0259,2026-01-25T00:55:28,USDC,315.010027,254,25.581224,48.401423,17,0.082201,0,0,True
W0708,W0234,2026-01-02T18:45:03,BUSD,62.978855,1250,94.252311,95.768206,2,0.053624,0,0,True
W0418,W0086,2026-01-19T07:11:11,USDC,160.933706,1277,8.791209,23.490446,5,0.056515,0,0,True
W0019,W0505,2026-01-17T22:54:04,USDT,743.842406,62,238.799659,164.939324,26,0.130061,0,0,True
W0565,W0560,2026-03-19T04:01:26,USDT,637.327257,797,35.658582,459.472257,7,0.141137,1,0,True
W0421,W0248,2025-12-21T12:58:03,USDT,17090.533513,703,13.944356,809.075374,24,0.069442,0,0,True
W0193,W0521,2026-01-11T09:36:51,USDT,743.58749,35,178.830516,21.907867,8,0.316063,0,0,True
W0558,W0248,2026-03-11T13:59:55,USDT,7474.440779,1061,36.612469,349.265179,1,0.136293,0,0,True
W0656,W0630,2026-03-13T06:05:09,BUSD,3111.054753,1400,304.560877,1140.138923,5,0.514243,0,0,True
W0327,W0472,2026-01-29T17:10:40,USDC,111.497656,775,31.17877,138.495822,4,0.186649,0,0,True
W0254,W0420,2026-02-27T14:39:49,USDT,2.846358,12,43.409774,459.009456,1,0.130916,0,0,True
W0026,W0176,2026-02-18T21:16:55,USDT,90.079882,626,34.074731,12.643518,10,0.325172,0,0,True
W0196,W0689,2026-01-02T12:46:33,USDT,91.478687,728,93.055077,101.60176,15,0.10727,0,0,True
W0139,W0401,2026-03-09T05:58:27,USDC,420.87122,472,199.078662,5.046001,23,0.176288,0,0,True
W0285,W0366,2026-03-17T06:48:12,DAI,4982.527812,142,13.67116,141.634422,7,0.947409,0,0,True
W0725,W0333,2025-12-25T07:52:06,USDC,474.170889,500,117.167771,113.652111,28,0.307135,0,0,True
W0332,W0288,2026-03-10T21:00:53,USDC,2732.057415,1427,265.342311,240.930596,21,0.06116,0,0,True
W0187,W0392,2026-02-10T08:58:07,DAI,3444.925633,125,705.60664,394.265435,12,0.899873,1,1,True
W0739,W0652,2026-02-02T06:36:20,USDT,786.179101,898,111.223924,56.605934,27,0.054297,0,1,True
W0073,W0584,2026-01-07T15:55:43,USDT,369.248712,880,495.23886,284.232596,17,0.146693,1,0,True
W0635,W0500,2026-02-04T02:11:46,USDT,645.57159,588,57.114633,134.014576,11,0.143269,0,0,True
W0473,W0327,2026-01-25T14:17:54,USDT,366.050501,989,132.204794,658.965777,15,0.149412,0,0,True
W0535,W0633,2026-01-29T08:39:16,USDT,10997.255548,1093,32.507223,400.276233,6,0.026917,0,0,True
W0485,W0629,2026-01-19T17:24:19,USDT,173.618684,1446,1565.47507,31.755794,2,0.78172,0,0,True
W0032,W0535,2026-03-12T19:17:43,USDT,9.37045,998,14.695233,58.724623,6,0.492546,1,1,True
W0325,W0698,2026-03-07T01:45:58,USDT,54.396528,637,190.949685,26.794443,1,0.118751,0,0,True
W0488,W0098,2026-01-08T15:49:53,USDC,4729.959829,43,531.035467,45.305922,21,0.140703,0,0,True
W0101,W0653,2026-01-09T03:38:15,USDC,135.410209,1214,4899.298518,134.134106,20,0.155315,1,0,True
W0658,W0356,2026-01-15T16:29:17,BUSD,225933.54456,59,28.211473,50.284418,15,0.065706,0,0,True
W0302,W0304,2026-02-15T10:06:31,USDC,166.48114,469,71.038329,498.96318,18,0.247461,0,0,True
W0540,W0566,2026-03-05T05:39:28,DAI,77.184909,818,189.8302,335.456549,20,0.7531,0,0,True
W0026,W0482,2026-02-28T17:41:19,DAI,1012.994338,1438,246.658735,371.6671,13,0.216179,0,0,True
W0677,W0754,2026-02-16T08:06:04,USDT,114.997172,1119,1182.604864,95.140129,15,0.251432,0,0,True
W0524,W0181,2026-02-16T07:31:01,BUSD,1501.465308,1265,51.885055,30.530866,23,0.50267,0,0,True
W0716,W0685,2026-03-18T10:32:25,DAI,859.170771,1452,526.168744,321.724881,10,0.302989,0,0,True
W0121,W0041,2026-03-17T09:23:54,DAI,192.004515,649,1355.011373,145.002826,7,0.145592,0,0,True
W0073,W0083,2026-03-10T04:08:48,USDT,74.816364,363,8.8988,419.147946,7,0.788363,0,0,True
W0195,W0570,2026-03-11T08:27:12,DAI,128.494032,84,185.240857,130.028353,25,0.997962,1,0,True
W0379,W0658,2026-02-22T10:31:25,USDT,83480.216134,505,97.064944,53.414757,18,0.107466,0,0,True
W0484,W0645,2026-01-02T05:59:40,USDT,629.307892,1084,121.068434,1652.335544,11,0.089806,0,0,True
W0675,W0398,2026-01-29T06:08:28,USDT,468.79859,509,635.06154,2.726781,18,0.896251,1,1,True
W0214,W0414,2026-01-29T06:10:53,USDT,371.64227,208,13.338767,128.285853,29,0.168929,0,0,True
W0066,W0595,2025-12-30T00:07:11,USDC,1834.978148,98,1011.908056,1061.908896,20,0.286615,1,0,True
W0428,W0204,2026-03-04T20:06:23,USDT,1869.587537,511,645.964933,116.185138,28,0.414376,0,1,True
W0433,W0209,2026-01-11T17:13:48,USDC,714.372581,742,140.612434,90.16977,9,0.140716,0,0,True
W0701,W0219,2026-02-06T11:25:49,USDT,534.809185,418,23.183245,1311.913203,23,0.412965,0,0,True
W0567,W0670,2026-01-30T18:16:35,USDT,207.56769,846,3313.467262,80.97029,7,0.009223,0,0,True
W0362,W0406,2026-02-08T04:17:58,USDC,681.199294,105,85.713713,209.229739,4,0.582863,1,0,True
W0197,W0129,2026-01-14T05:31:12,USDT,187.55158,1452,7.404431,444.600185,27,0.174772,0,0,True
W0212,W0216,2026-02-24T23:21:05,DAI,291.068768,413,97.962237,145.125906,4,0.463085,1,0,True
W0257,W0638,2026-01-13T22:48:44,DAI,3.816956,1462,28.970986,789.637816,21,0.365688,0,0,True
W0106,W0581,2026-02-26T06:23:54,USDT,1588.753626,507,33.782529,542.756843,14,0.261662,1,0,True
W0636,W0030,2026-02-12T23:39:26,USDC,1459.829511,465,294.527304,130.644468,11,0.130005,0,0,True
W0007,W0270,2026-03-18T02:37:35,USDC,375.702269,78,291.94357,195.909819,27,0.120893,0,0,True
W0196,W0432,2026-02-20T18:20:42,DAI,2289.387944,261,195.505443,159.306158,23,0.768039,1,1,True
W0716,W0695,2026-01-23T12:37:50,USDT,145837.678038,981,444.080319,222.397181,19,0.264201,1,0,True
W0563,W0168,2026-02-23T21:48:45,USDT,153.530396,2,284.165131,540.599464,14,0.221842,0,0,True
W0476,W0198,2026-03-20T19:50:56,USDT,197.213916,1279,461.179614,66.866981,19,0.558625,0,0,True
W0091,W0250,2026-02-16T00:46:32,USDT,672.524175,1069,213.019557,49.678525,25,0.767052,1,0,True
W0300,W0086,2026-02-05T01:31:33,USDC,45.407901,139,553.256447,181.606467,16,0.199713,0,0,True
W0454,W0673,2026-01-03T19:23:33,USDT,30.658056,897,242.611379,16.922708,24,0.492882,0,0,True
W0367,W0656,2026-02-13T22:23:21,USDC,111.077457,248,828.146055,40.174716,1,0.116255,0,0,True
W0748,W0150,2025-12-31T09:17:27,BUSD,171.11321,80,229.569071,93.76351,5,0.060297,0,0,True
W0652,W0670,2026-02-14T18:34:02,DAI,116.918107,69,193.270255,38.282664,11,0.774563,1,1,True
W0550,W0670,2025-12-29T16:13:51,BUSD,75.282154,427,306.805815,10.951429,1,0.398012,0,0,True
W0507,W0224,2026-03-15T07:17:26,USDC,126.049629,22,184.115627,3634.740552,3,0.060847,0,0,True
W0760,W0139,2026-02-20T10:18:32,USDC,667.236477,318,58.60036,419.496506,9,0.558244,0,1,True
W0126,W0552,2026-03-10T01:24:57,USDT,2090.718458,406,309.945881,23.030866,14,0.093783,0,0,True
W0446,W0609,2026-01-05T00:51:17,USDT,10065.989839,1108,328.926698,110.234293,10,0.021852,0,0,True
W0463,W0678,2026-03-16T02:13:27,BUSD,74.314668,885,24.992976,111.833163,15,0.169557,0,0,True
W0091,W0766,2026-03-16T09:19:09,USDC,709.544178,692,191.731102,35.288153,27,0.102615,0,0,True
W0754,W0703,2026-01-22T02:48:36,DAI,493.052609,742,34.250907,98.721096,27,0.092725,0,0,True
W0483,W0351,2026-01-21T11:32:15,USDC,70.239909,160,443.12522,2.380181,1,0.266591,0,0,True
W0619,W0300,2026-01-23T14:14:16,USDT,2738.922775,1194,15.581469,137.150702,4,0.122533,0,0,True
W0728,W0284,2026-02-13T05:45:26,DAI,53.045902,147,4.328454,47.243203,6,0.873917,1,1,True
W0718,W0397,2025-12-29T06:16:27,USDT,402.362285,1093,51.197312,294.298604,25,0.131086,0,0,True
W0374,W0139,2026-02-22T16:54:19,DAI,1601.911689,843,42.04388,536.197475,28,0.738952,1,0,True
W0029,W0566,2026-03-15T07:45:05,USDC,5694.166863,448,134.007382,389.189498,28,0.238479,0,0,True
W0438,W0301,2026-03-17T14:38:47,USDC,298.889753,386,11.44555,25.041964,7,0.185506,0,0,True
W0354,W0555,2026-03-06T08:45:23,USDT,86.786161,1071,133.155158,2091.274201,13,0.732116,1,1,True
W0548,W0615,2026-02-23T22:03:35,USDT,420.899207,286,231.542191,9.071996,9,0.308498,0,0,True
W0174,W0575,2026-02-12T12:55:07,USDT,3.442551,794,79.100927,134.934367,3,0.564231,0,0,True
W0048,W0086,2026-03-09T04:02:39,USDT,36.020849,123,6.16691,369.24837,22,0.191459,0,1,True
W0465,W0757,2026-01-06T17:26:01,BUSD,5850.674183,66,461.948459,190.88559,6,0.475517,0,0,True
W0076,W0656,2026-01-25T16:00:14,DAI,2261.925905,1025,123.652905,857.219028,22,0.373408,1,1,True
W0238,W0034,2026-02-09T21:19:28,USDT,2300.455474,420,231.878044,61.716494,4,0.268452,0,0,True
W0621,W0460,2026-01-30T02:14:58,USDC,213.48472,1316,414.571455,40.936082,23,0.73233,1,1,True
W0483,W0570,2026-03-06T18:41:52,BUSD,36.501367,1411,23.469417,32.430121,12,0.116018,0,0,True
W0418,W0654,2026-01-15T20:55:55,USDT,2161.167622,1342,518.21138,78.450057,4,0.119992,0,0,True
W0644,W0632,2026-01-08T15:09:29,USDC,262.730231,312,292.46394,239.452574,10,0.160681,0,0,True
W0432,W0690,2026-01-30T22:38:07,USDT,599.219741,1453,118.554546,107.557004,19,0.171029,1,0,True
W0360,W0716,2026-03-08T02:14:24,USDT,263.313299,771,483.923196,168.935872,15,0.218702,0,0,True
W0074,W0723,2026-01-24T10:50:27,USDT,45.384725,1492,254.847651,666.327804,14,0.542269,0,0,True
W0496,W0423,2026-01-26T21:17:11,USDT,1574.55256,460,547.644041,87.826092,15,0.328575,1,0,True
W0329,W0124,2026-03-09T08:57:39,USDC,84.937609,780,3.440459,9.415395,12,0.02544,0,0,True
W0341,W0549,2026-03-18T00:06:28,USDT,3481.885511,228,531.03872,509.722805,17,0.542918,0,0,True
W0708,W0332,2026-02-08T13:09:58,USDC,471.919645,551,147.989553,48.80376,23,0.210521,1,0,True
W0487,W0520,2026-01-25T18:13:37,USDT,66871.831652,76,151.905167,348.692531,8,0.234719,0,0,True
W0343,W0725,2026-01-17T09:42:15,USDC,1219.950883,311,199.245144,200.022374,12,0.210741,0,0,True
W0170,W0398,2026-01-15T18:10:12,USDT,43016.145761,996,44.106883,3.117249,25,0.841395,0,0,True
W0362,W0346,2026-02-13T01:40:29,USDT,544.91483,994,428.211308,352.081356,27,0.276986,0,0,True
W0581,W0412,2026-03-17T06:52:17,USDT,1383.868253,1405,103.863639,547.455437,1,0.278963,0,0,True
W0195,W0458,2026-01-08T08:48:40,USDT,51.040327,440,4473.653265,140.522218,21,0.264995,0,0,True
W0658,W0079,2026-03-18T00:53:03,DAI,174.350088,593,9.186022,365.681622,5,0.067271,0,0,True
W0617,W0471,2026-03-10T23:20:53,USDT,1109.427575,680,129.912405,251.128861,10,0.114663,0,0,True
W0084,W0022,2026-01-25T14:02:51,USDT,5031.730098,1294,169.794511,2055.092525,22,0.066891,1,0,True
W0711,W0726,2026-03-01T20:39:00,USDT,300.658043,1186,7.761021,8.894136,16,0.083741,0,0,True
W0118,W0367,2026-02-16T02:03:57,USDT,5885.656833,652,365.781502,60.553951,4,0.217552,0,0,True
W0002,W0735,2026-01-02T04:20:50,USDC,26.404944,1307,535.406072,44.028202,8,0.080865,0,0,True
W0064,W0421,2026-01-03T17:38:51,DAI,61.181883,1182,79.010429,185.120921,13,0.182069,0,0,True
W0378,W0633,2026-02-07T02:51:09,USDT,2344.589922,715,145.039912,27.568363,23,0.134057,0,0,True
W0743,W0394,2026-03-07T05:02:37,USDT,3334.553057,510,1053.568123,1196.067931,25,0.688298,1,0,True
W0600,W0266,2026-01-18T13:04:20,USDT,17747.806587,1409,634.248192,1787.981441,1,0.044269,0,0,True
W0515,W0420,2026-01-16T02:34:11,USDC,858.90811,92,320.470858,72.482315,3,0.086616,0,0,True
W0452,W0326,2026-03-18T10:47:37,USDT,1050.366857,1178,90.880645,465.464919,19,0.411472,0,0,True
W0516,W0176,2026-01-24T03:41:09,USDT,2356.344512,1465,160.241239,328.477303,29,0.242634,0,0,True
W0538,W0754,2026-02-10T02:53:48,USDC,491.783005,17,1150.304118,696.967465,12,0.053731,0,0,True
W0490,W0147,2026-03-17T03:14:34,USDC,2606.217546,1189,9722.886258,101.245071,26,0.123341,0,0,True
W0293,W0163,2025-12-26T20:58:33,USDT,15.200529,71,17.776891,438.411243,16,0.79452,0,0,True
W0399,W0557,2026-01-31T15:51:24,USDC,1405.445861,931,138.620411,228.795972,2,0.081909,0,0,True
W0150,W0607,2026-03-02T22:00:19,USDT,479.642242,1315,194.537775,377.885108,24,0.749134,1,1,True
W0106,W0324,2026-01-10T20:28:27,USDT,226.631047,37,53.66017,937.302853,23,0.858436,1,1,True
W0695,W0509,2026-01-14T14:27:44,USDC,618.099054,3,3.868602,59.05471,20,0.230637,0,0,True
W0477,W0032,2026-02-20T12:56:54,USDT,379.775744,248,555.368019,30.674953,29,0.140609,1,0,True
