applicant_id,application_date,loan_amount,annual_income,debt_to_income,employment_length,credit_grade,interest_rate,loan_purpose,home_ownership,delinquency_history,revolving_utilization,open_accounts,default_flag,loss_amount_if_default,income_to_loan_ratio,debt_burden_score,credit_utilization_band,loan_size_band,credit_grade_numeric,prior_delinquency_flag,application_vintage
APP-00072,2022-02-08,6942.15,39717.84,0.196,8,B,0.0977,debt_consolidation,mortgage,0,0.3758,10,0,0.0,5.7213,0.234,moderate,small,2,0,2022Q1
APP-00073,2022-02-08,38695.63,55367.46,0.2165,5,A,0.0737,debt_consolidation,mortgage,0,0.672,6,0,0.0,1.4308,0.3406,elevated,very_large,1,0,2022Q1
APP-00074,2022-02-09,21511.56,26092.28,0.1819,9,B,0.1076,debt_consolidation,rent,1,0.2794,11,0,0.0,1.2129,0.2349,low,large,2,1,2022Q1
APP-00075,2022-02-09,24651.37,82211.31,0.1205,4,A,0.0879,major_purchase,mortgage,0,0.1884,9,0,0.0,3.335,0.1302,low,large,1,0,2022Q1
APP-00076,2022-02-09,35979.98,86270.94,0.1409,5,C,0.1621,debt_consolidation,rent,0,0.4229,8,0,0.0,2.3977,0.2171,moderate,very_large,3,0,2022Q1
APP-00077,2022-02-10,22175.51,61841.58,0.58,1,D,0.1989,debt_consolidation,rent,0,0.425,11,0,0.0,2.7887,0.4724,moderate,large,4,0,2022Q1
APP-00078,2022-02-10,7425.18,57484.38,0.3112,0,D,0.2036,major_purchase,rent,0,0.4967,11,0,0.0,7.7418,0.3394,moderate,small,4,0,2022Q1
APP-00079,2022-02-12,32736.78,48831.25,0.143,18,D,0.1987,debt_consolidation,mortgage,0,0.6231,8,0,0.0,1.4916,0.2823,elevated,very_large,4,0,2022Q1
APP-00080,2022-02-12,11080.77,56267.85,0.3184,7,C,0.1508,debt_consolidation,rent,2,0.4973,7,1,5918.49,5.078,0.4238,moderate,moderate,3,1,2022Q1
APP-00081,2022-02-13,42000.0,74409.64,0.246,2,C,0.1332,small_business,rent,0,0.1412,14,0,0.0,1.7717,0.1878,low,very_large,3,0,2022Q1
APP-00082,2022-02-15,5025.98,119789.38,0.2285,9,C,0.1546,debt_consolidation,rent,0,0.4464,7,0,0.0,23.834,0.2754,moderate,small,3,0,2022Q1
APP-00083,2022-02-15,39382.18,65630.92,0.5183,14,C,0.1334,debt_consolidation,rent,0,0.2748,6,0,0.0,1.6665,0.3886,low,very_large,3,0,2022Q1
APP-00084,2022-02-16,20567.25,35243.98,0.2687,7,B,0.1055,small_business,rent,1,0.251,15,0,0.0,1.7136,0.2761,low,large,2,1,2022Q1
APP-00085,2022-02-17,10170.75,32159.03,0.4758,3,C,0.1608,major_purchase,mortgage,0,0.7714,13,1,7328.4,3.1619,0.5228,high,moderate,3,0,2022Q1
APP-00086,2022-02-17,19079.67,67925.89,0.4277,3,D,0.1959,other,mortgage,0,0.3689,16,0,0.0,3.5601,0.3661,moderate,large,4,0,2022Q1
APP-00087,2022-02-17,14313.3,88145.63,0.0847,5,A,0.0536,home_improvement,own,1,0.4671,7,0,0.0,6.1583,0.2386,moderate,moderate,1,1,2022Q1
APP-00088,2022-02-19,9763.01,33546.01,0.3263,5,D,0.2101,medical,mortgage,1,0.3636,13,0,0.0,3.436,0.3456,moderate,moderate,4,1,2022Q1
APP-00089,2022-02-19,13099.87,57182.52,0.0948,3,D,0.2022,debt_consolidation,rent,0,0.2159,7,0,0.0,4.3651,0.124,low,moderate,4,0,2022Q1
APP-00090,2022-02-19,15549.64,31691.17,0.58,3,C,0.1362,debt_consolidation,mortgage,4,0.2224,12,0,0.0,2.0381,0.5676,low,large,3,1,2022Q1
APP-00091,2022-02-20,9345.9,66647.61,0.03,9,A,0.0618,major_purchase,rent,0,0.4165,9,0,0.0,7.1312,0.1507,moderate,moderate,1,0,2022Q1
APP-00092,2022-02-20,16775.2,90392.92,0.5351,6,B,0.0785,debt_consolidation,rent,0,0.4955,13,0,0.0,5.3885,0.4689,moderate,large,2,0,2022Q1
APP-00093,2022-02-20,16643.44,83184.11,0.2058,6,C,0.1231,major_purchase,own,0,0.5903,18,0,0.0,4.998,0.3083,elevated,large,3,0,2022Q1
APP-00094,2022-02-20,42000.0,84904.21,0.0526,0,A,0.068,other,own,0,0.4642,9,0,0.0,2.0215,0.1791,moderate,very_large,1,0,2022Q1
APP-00095,2022-02-21,11568.36,61439.21,0.1964,2,B,0.1103,debt_consolidation,mortgage,1,0.1894,10,0,0.0,5.311,0.2145,low,moderate,2,1,2022Q1
APP-00096,2022-02-21,42000.0,55031.09,0.2711,10,C,0.1423,debt_consolidation,mortgage,0,0.4619,12,0,0.0,1.3103,0.305,moderate,very_large,3,0,2022Q1
APP-00097,2022-02-22,25693.1,43203.74,0.2736,8,B,0.1034,home_improvement,mortgage,0,0.289,8,0,0.0,1.6815,0.2511,low,very_large,2,0,2022Q1
APP-00098,2022-02-22,12427.35,55905.28,0.58,2,D,0.2092,home_improvement,rent,0,0.2052,13,0,0.0,4.4986,0.4021,low,moderate,4,0,2022Q1
APP-00099,2022-02-22,14635.39,58562.56,0.3081,4,A,0.0771,home_improvement,own,0,0.1707,13,0,0.0,4.0014,0.2333,low,moderate,1,0,2022Q1
APP-00100,2022-02-22,6412.87,49447.97,0.2596,8,B,0.1034,debt_consolidation,mortgage,0,0.3261,10,0,0.0,7.7107,0.2549,moderate,small,2,0,2022Q1
APP-00101,2022-02-22,21094.59,68116.24,0.2452,3,B,0.1117,small_business,mortgage,1,0.6421,11,0,0.0,3.2291,0.3877,elevated,large,2,1,2022Q1
APP-00102,2022-02-23,15008.1,197958.15,0.2082,9,B,0.0891,debt_consolidation,rent,0,0.5087,15,0,0.0,13.1901,0.2835,moderate,large,2,0,2022Q1
APP-00103,2022-02-23,25341.08,36374.05,0.3151,5,C,0.1498,medical,mortgage,2,0.2438,12,0,0.0,1.4354,0.3408,low,very_large,3,1,2022Q1
APP-00104,2022-02-23,25515.15,69370.12,0.225,1,A,0.0539,debt_consolidation,mortgage,0,0.2498,15,0,0.0,2.7188,0.2105,low,very_large,1,0,2022Q1
APP-00105,2022-02-24,11345.91,81637.64,0.2753,11,C,0.147,debt_consolidation,mortgage,2,0.5105,10,0,0.0,7.1953,0.4031,moderate,moderate,3,1,2022Q1
APP-00106,2022-02-25,15182.49,38760.91,0.0969,3,B,0.106,medical,mortgage,0,0.6132,15,0,0.0,2.553,0.2524,elevated,large,2,0,2022Q1
APP-00107,2022-02-27,7669.5,161130.71,0.4187,0,D,0.2043,debt_consolidation,rent,0,0.5233,8,0,0.0,21.0093,0.4103,moderate,moderate,4,0,2022Q1
APP-00108,2022-02-28,9757.37,33000.36,0.2973,11,B,0.1052,major_purchase,rent,0,0.2499,14,0,0.0,3.3821,0.2524,low,moderate,2,0,2022Q1
APP-00109,2022-02-28,25144.85,161859.63,0.1762,8,C,0.1345,home_improvement,rent,0,0.2847,9,0,0.0,6.4371,0.1933,low,very_large,3,0,2022Q1
APP-00110,2022-03-01,10849.8,118736.12,0.5088,8,D,0.1813,debt_consolidation,mortgage,3,0.238,13,0,0.0,10.9436,0.4913,low,moderate,4,1,2022Q1
APP-00111,2022-03-01,12859.12,82015.68,0.4512,11,B,0.1124,debt_consolidation,rent,2,0.3269,9,0,0.0,6.378,0.4463,moderate,moderate,2,1,2022Q1
APP-00112,2022-03-02,11376.91,133120.14,0.2892,2,C,0.1461,debt_consolidation,rent,1,0.3268,17,0,0.0,11.7009,0.3123,moderate,moderate,3,1,2022Q1
APP-00113,2022-03-02,36534.98,100190.38,0.5782,5,C,0.1462,home_improvement,rent,2,0.4189,13,0,0.0,2.7423,0.5494,moderate,very_large,3,1,2022Q1
APP-00114,2022-03-03,20341.61,46881.21,0.2487,10,B,0.1271,small_business,rent,0,0.3441,8,0,0.0,2.3047,0.2543,moderate,large,2,0,2022Q1
APP-00115,2022-03-03,39980.42,150908.44,0.0886,7,B,0.0968,major_purchase,mortgage,1,0.1783,9,0,0.0,3.7746,0.1485,low,very_large,2,1,2022Q1
APP-00116,2022-03-03,8953.0,39452.42,0.2063,0,E,0.282,debt_consolidation,mortgage,2,0.2577,8,0,0.0,4.4066,0.2821,low,moderate,5,1,2022Q1
APP-00117,2022-03-04,12033.25,26586.09,0.1873,3,A,0.0811,small_business,rent,0,0.2365,15,0,0.0,2.2094,0.1843,low,moderate,1,0,2022Q1
APP-00118,2022-03-05,8192.81,39149.69,0.1892,8,C,0.1324,home_improvement,rent,1,0.4463,17,0,0.0,4.7785,0.2926,moderate,moderate,3,1,2022Q1
APP-00119,2022-03-06,11535.49,62405.89,0.125,9,B,0.1058,major_purchase,rent,1,0.1489,16,0,0.0,5.4099,0.1601,low,moderate,2,1,2022Q1
APP-00120,2022-03-06,11729.64,85435.55,0.222,5,A,0.077,debt_consolidation,mortgage,0,0.4884,16,0,0.0,7.2837,0.285,moderate,moderate,1,0,2022Q1
APP-00121,2022-03-06,9184.45,45882.43,0.4001,8,A,0.0871,debt_consolidation,own,0,0.7459,13,0,0.0,4.9957,0.4707,elevated,moderate,1,0,2022Q1
APP-00122,2022-03-06,9863.25,103488.19,0.1811,7,B,0.1165,medical,rent,0,0.1784,8,0,0.0,10.4923,0.1621,low,moderate,2,0,2022Q1
APP-00123,2022-03-08,7734.86,89208.53,0.2365,2,B,0.1037,medical,mortgage,0,0.1282,16,0,0.0,11.5333,0.1782,low,moderate,2,0,2022Q1
APP-00124,2022-03-08,21728.45,57956.36,0.2885,18,C,0.1397,major_purchase,mortgage,0,0.7582,13,0,0.0,2.6673,0.4099,high,large,3,0,2022Q1
APP-00125,2022-03-09,14825.33,59512.43,0.1184,6,C,0.1373,debt_consolidation,mortgage,0,0.4278,8,0,0.0,4.0142,0.2056,moderate,moderate,3,0,2022Q1
APP-00126,2022-03-09,13916.25,151593.55,0.3217,6,C,0.167,medical,mortgage,0,0.7291,10,0,0.0,10.8933,0.4199,elevated,moderate,3,0,2022Q1
APP-00127,2022-03-12,29411.67,37304.51,0.1034,9,C,0.1467,debt_consolidation,rent,0,0.1823,13,0,0.0,1.2684,0.1183,low,very_large,3,0,2022Q1
APP-00128,2022-03-13,39827.79,42485.65,0.4251,9,A,0.0948,medical,mortgage,0,0.1621,13,0,0.0,1.0667,0.2984,low,very_large,1,0,2022Q1
APP-00129,2022-03-13,10668.43,30339.91,0.1975,14,A,0.0752,debt_consolidation,rent,0,0.4156,1,0,0.0,2.8439,0.2475,moderate,moderate,1,0,2022Q1
APP-00130,2022-03-14,8527.35,24000.0,0.109,14,B,0.0942,home_improvement,rent,0,0.1146,8,0,0.0,2.8145,0.0999,low,moderate,2,0,2022Q1
APP-00131,2022-03-16,21470.58,37878.89,0.3159,7,C,0.1543,medical,rent,1,0.125,10,1,12978.16,1.7642,0.2632,low,large,3,1,2022Q1
APP-00132,2022-03-17,42000.0,59729.12,0.4215,8,B,0.1036,medical,mortgage,0,0.5581,9,0,0.0,1.4221,0.4231,elevated,very_large,2,0,2022Q1
APP-00133,2022-03-17,15133.87,45896.4,0.3663,0,B,0.0842,small_business,rent,0,0.4772,11,0,0.0,3.0327,0.3652,moderate,large,2,0,2022Q1
APP-00134,2022-03-17,7097.14,79431.65,0.2927,7,B,0.1052,debt_consolidation,mortgage,0,0.3608,13,0,0.0,11.1921,0.2852,moderate,small,2,0,2022Q1
APP-00135,2022-03-18,12005.81,57173.61,0.1052,7,B,0.096,other,mortgage,0,0.2116,12,0,0.0,4.7622,0.1287,low,moderate,2,0,2022Q1
APP-00136,2022-03-18,6077.3,45034.54,0.2865,7,B,0.0937,major_purchase,own,1,0.4891,8,0,0.0,7.4103,0.3627,moderate,small,2,1,2022Q1
APP-00137,2022-03-20,14642.59,39463.21,0.4368,2,C,0.1395,home_improvement,own,1,0.4007,9,0,0.0,2.6951,0.4216,moderate,moderate,3,1,2022Q1
APP-00138,2022-03-21,12106.06,81687.95,0.2099,12,A,0.0876,home_improvement,rent,0,0.312,12,0,0.0,6.7477,0.2216,moderate,moderate,1,0,2022Q1
APP-00139,2022-03-21,13233.23,76037.79,0.58,2,D,0.2002,major_purchase,mortgage,2,0.3887,10,0,0.0,5.746,0.5408,moderate,moderate,4,1,2022Q1
APP-00140,2022-03-21,13742.93,52258.59,0.491,0,D,0.2218,debt_consolidation,mortgage,3,0.606,9,1,8798.88,3.8026,0.5987,elevated,moderate,4,1,2022Q1
APP-00141,2022-03-22,42000.0,64648.37,0.3069,7,C,0.1452,debt_consolidation,own,2,0.3339,16,0,0.0,1.5392,0.3649,moderate,very_large,3,1,2022Q1
APP-00142,2022-03-23,19470.95,46164.6,0.5725,8,C,0.1421,debt_consolidation,rent,0,0.1861,14,0,0.0,2.3709,0.3916,low,large,3,0,2022Q1
APP-00143,2022-03-24,24876.17,87824.97,0.4242,9,D,0.1886,debt_consolidation,rent,1,0.4897,9,0,0.0,3.5305,0.4427,moderate,large,4,1,2022Q1
APP-00144,2022-03-24,8836.49,69220.0,0.2193,5,D,0.2184,medical,mortgage,3,0.2824,15,0,0.0,7.8334,0.3375,low,moderate,4,1,2022Q1
APP-00145,2022-03-25,8398.12,54308.02,0.3839,10,B,0.1145,debt_consolidation,rent,2,0.1351,5,0,0.0,6.4667,0.3459,low,moderate,2,1,2022Q1
APP-00146,2022-03-25,9915.13,49080.5,0.4548,16,D,0.2096,debt_consolidation,own,2,0.6114,13,0,0.0,4.9501,0.5394,elevated,moderate,4,1,2022Q1
APP-00147,2022-03-26,10295.22,54286.71,0.4006,4,C,0.1584,other,mortgage,1,0.3055,12,0,0.0,5.273,0.3701,moderate,moderate,3,1,2022Q1
APP-00148,2022-03-27,31385.79,74304.59,0.0817,8,A,0.1066,debt_consolidation,rent,0,0.6507,8,0,0.0,2.3675,0.2556,elevated,very_large,1,0,2022Q1
APP-00149,2022-03-28,21233.23,75746.56,0.2221,9,C,0.1514,debt_consolidation,mortgage,0,0.3479,4,0,0.0,3.5674,0.2402,moderate,large,3,0,2022Q1
APP-00150,2022-03-28,13094.01,36665.58,0.3917,8,D,0.2107,home_improvement,mortgage,1,0.2076,6,0,0.0,2.8002,0.3336,low,moderate,4,1,2022Q1
APP-00151,2022-03-28,35278.97,39254.24,0.3809,5,B,0.1059,debt_consolidation,rent,1,0.444,12,0,0.0,1.1127,0.403,moderate,very_large,2,1,2022Q1
APP-00152,2022-03-29,13590.46,57790.29,0.4663,11,A,0.0765,debt_consolidation,rent,0,0.1676,6,0,0.0,4.2523,0.3241,low,moderate,1,0,2022Q1
APP-00153,2022-03-29,10472.28,56767.5,0.3644,0,C,0.1343,medical,mortgage,1,0.2147,8,1,5654.54,5.4207,0.3201,low,moderate,3,1,2022Q1
APP-00154,2022-03-31,16840.55,87969.5,0.1681,11,E,0.2665,major_purchase,rent,1,0.5178,11,0,0.0,5.2237,0.3032,moderate,large,5,1,2022Q1
APP-00155,2022-04-01,5940.91,27970.52,0.1568,5,C,0.1428,debt_consolidation,rent,0,0.5653,8,0,0.0,4.7081,0.2719,elevated,small,3,0,2022Q2
